"area_familia","especialidad_sector","modalidad","fecha","razon_social","fecha_resolucion","canton","provincia","id_fact_oc_cp","id_razon_social","id_curso_perfil","id_fecha","dia","mes","tipo","curso_perfil","estado","tipo_razon_social","carga_horaria","costo","anio","num_cap_cer","total_ganancias","total_horas","prediction(porcentaje_asistencia)"
"educación y capacitación","capacitación","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",813.0,15.0,1721.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,206.27619047619035,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",10.0,50.0,735.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",312.0,4124.64,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",11.0,50.0,742.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",400.0,5288.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",12.0,50.0,732.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",360.0,2475.3142857142843,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",13.0,50.0,736.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",400.0,2750.349206349205,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"comunicación y artes gráficas","métodos y técnicas de promoción y difusión","presencial","31-12-2021","MISSING","MISSING","guayaquil","guayas",14.0,66.0,4113.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,290.1,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.1498929336188436
"comunicación y artes gráficas","métodos y técnicas de promoción y difusión","online","31-12-2021","MISSING","MISSING","guayaquil","guayas",15.0,66.0,4117.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,262.5,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.1498929336188436
"MISSING","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",16.0,84.0,4106.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,528.6,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",17.0,100.0,2589.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",125.0,2972.5,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",18.0,100.0,2588.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",200.0,22.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
