"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","dia","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","mes","anio","total_cursos","volumen_cap_cer","volumen_horas","prediction(volumen_ganancias)"
"quito","pichincha",393.0,1018.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0463",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"riobamba","chimborazo",394.0,1025.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2022-0095",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,949665.52
"quito","pichincha",398.0,1257.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2021-0022",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",399.0,1263.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0013",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"MISSING","sucumbios",401.0,1270.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0153",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"salcedo","cotopaxi",403.0,1276.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0453",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",409.0,1343.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0612",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"MISSING","sin provincia",416.0,1401.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0439",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"ambato","tungurahua",417.0,1402.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0061",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,812945.32
"cuenca","azuay",421.0,1430.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0608",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",422.0,1436.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0442",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"latacunga","cotopaxi",425.0,1457.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2021-0015",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,690544.433015873
"latacunga","cotopaxi",427.0,1468.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0096",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,690544.433015873
"quito","pichincha",428.0,1470.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0471",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"santo domingo","santo domingo de los tsachilas",433.0,1526.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0628",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,238288.48
