"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,30.0,1.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",9.0,54.0,5.0,2250.0,26.0,3.0,2019.0,16.0,30.181818181818183
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,14.0,10.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",1.0,6.0,5.0,250.0,24.0,1.0,2018.0,13.0,13.868945868945868
"turismo y alimentación","servicio de alimento y bebida","habilitado","pichincha",3.0,18.0,5.0,750.0,24.0,1.0,2018.0,13.0,13.868945868945868
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",1.0,6.0,2.0,250.0,27.0,12.0,2016.0,2.0,6.506150061500615
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",4.0,24.0,1.0,1000.0,3.0,2.0,2021.0,4.0,4.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",7.0,42.0,1.0,1750.0,3.0,8.0,2018.0,7.0,7.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",1.0,6.0,1.0,250.0,19.0,9.0,2018.0,1.0,1.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",2.0,12.0,1.0,500.0,7.0,2.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",11.0,66.0,1.0,2750.0,29.0,3.0,2018.0,11.0,11.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",9.0,54.0,1.0,2250.0,27.0,6.0,2018.0,9.0,9.0
