"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,21.0,1.0,10.0,2018.0,21.0,21.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,15.0,31.0,10.0,2019.0,15.0,15.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,23.0,23.0,10.0,2018.0,23.0,23.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,23.0,13.0,6.0,2019.0,23.0,23.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,10.0,27.0,11.0,2018.0,10.0,10.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,16.0,28.0,6.0,2019.0,16.0,16.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,12.0,16.0,5.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,20.0,20.0,5.0,2019.0,20.0,20.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","quito","pichincha",1.0,2.0,8.0,11.0,2018.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,13.0,10.0,9.0,2019.0,13.0,13.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,44.0,21.0,5.0,2019.0,44.0,44.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,3.0,28.0,12.0,2019.0,3.0,3.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,1.0,2.0,10.0,2018.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",2.0,14.0,30.0,7.0,2019.0,8.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,10.0,2.0,4.0,2019.0,10.0,10.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,37.0,27.0,6.0,2019.0,37.0,37.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,1.0,8.0,8.0,2019.0,1.0,1.0
