"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,8.0,1.0,6.0,2022.0,6.0,1.8744292237442923
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,2.0,8.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,4.0,5.0,3.0,2022.0,4.0,4.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,6.0,2.0,2022.0,2.0,3.533333333333333
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,11.0,10.0,7.0,2022.0,7.0,5.761627906976744
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,12.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,12.0,4.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,12.0,17.0,2.0,2022.0,11.0,5.761627906976744
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,7.0,3.9054726368159205
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,7.0,31.0,5.0,2022.0,4.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,7.0,6.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,11.0,7.0,2022.0,1.0,1.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,28.0,4.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,6.0,5.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,20.0,1.0,2022.0,3.0,2.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,1.0,6.0,2022.0,4.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,2.0,8.0,2022.0,2.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,4.0,4.0,2022.0,9.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,14.0,6.0,2022.0,7.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,19.0,5.0,2022.0,4.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,11.0,22.0,2.0,2022.0,2.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,31.0,5.0,2022.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,7.0,6.0,2022.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,20.0,11.0,7.0,2022.0,1.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,28.0,4.0,2022.0,5.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,7.0,2.0,2020.0,1.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,7.0,9.0,2021.0,18.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,27.0,8.0,12.0,2020.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,21.0,6.0,2022.0,28.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,7.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,7.0,2021.0,4.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,9.0,2021.0,5.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,28.0,11.0,2019.0,38.0,32.473684210526315
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,40.0,8.0,3.0,2022.0,22.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,18.0,4.0,2022.0,4.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,30.0,20.0,7.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,21.0,5.0,2021.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,62.0,3.0,2.0,2022.0,11.0,7.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,9.0,2.0,2022.0,5.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,37.0,15.0,3.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,16.0,9.0,2021.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,25.0,8.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,34.0,30.0,3.0,2022.0,4.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,25.0,11.0,2019.0,1.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,30.0,8.0,2021.0,13.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,17.0,3.0,12.0,2019.0,9.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,51.0,9.0,12.0,2019.0,47.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,3.0,24.5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,23.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,20.0,12.0,2019.0,1.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,20.0,22.0,10.0,2019.0,17.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,28.0,23.0,9.0,2019.0,5.0,17.742424242424242
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,24.0,12.0,2019.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,3.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,7.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,6.0,8.0,7.0,2021.0,1.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,25.0,11.0,2020.0,2.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,22.0,18.0,2.0,2022.0,2.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,4.0,1.0,10.0,2019.0,1.0,1.3373493975903614
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,48.0,7.0,9.0,2020.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,60.0,39.333333333333336
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,5.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,10.0,12.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,16.0,13.0,11.0,2020.0,4.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,28.0,14.0,4.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,11.0,14.0,7.0,2022.0,6.0,2.3189655172413794
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,55.0,16.0,7.0,2022.0,26.0,30.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,50.0,17.0,4.0,2022.0,1.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,44.0,19.0,4.0,2022.0,9.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,17.0,19.0,7.0,2022.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,59.0,20.0,6.0,2022.0,8.0,16.333333333333332
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,20.0,21.0,1.0,2022.0,3.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,38.0,21.0,2.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,17.0,23.0,9.0,2021.0,8.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,29.0,24.0,3.0,2022.0,5.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,31.0,24.0,4.0,2021.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,23.0,24.0,7.0,2022.0,13.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,10.0,25.0,2.0,2022.0,1.0,2.3189655172413794
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,34.0,26.0,7.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,8.0,2021.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,27.0,11.0,2020.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,28.0,10.0,2020.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,44.0,29.0,4.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,21.0,29.0,7.0,2022.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,1.0,9.181818181818182
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,46.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,31.0,5.0,2021.0,6.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,1.0,9.0,2021.0,36.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,25.0,1.0,10.0,2020.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,2.0,2.0,2022.0,2.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,2.0,9.0,2020.0,7.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,28.0,2.0,10.0,2021.0,12.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,7.0,3.0,12.0,2020.0,3.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,4.0,8.0,2021.0,12.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,2.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,3.0,5.0,3.0,2020.0,3.0,3.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,6.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,6.0,2.0,2020.0,4.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,6.0,6.0,2021.0,3.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,3.0,6.0,12.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,7.0,10.0,2019.0,2.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,7.0,10.0,2020.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,7.0,11.0,2020.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,32.0,32.473684210526315
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,25.0,32.473684210526315
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,45.0,9.0,4.0,2021.0,43.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,51.0,9.0,6.0,2022.0,21.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,5.0,9.0,9.0,2019.0,5.0,5.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,10.0,1.0,2021.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,10.0,8.0,2020.0,22.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,8.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,2.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,9.0,11.0,3.0,2020.0,2.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,1.0,1.4796380090497738
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,2.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,13.0,1.0,2020.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,22.0,13.0,7.0,2020.0,4.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,13.0,7.0,2022.0,2.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,13.0,9.0,2021.0,8.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,13.0,10.0,2020.0,1.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,14.0,1.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,14.0,5.0,2021.0,4.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,15.0,2.0,2022.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,15.0,3.0,2021.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,7.0,2022.0,2.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,11.0,2020.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,16.0,1.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,16.0,9.0,2019.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,17.0,1.0,2021.0,2.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,17.0,2.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,17.0,3.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,17.0,9.0,2021.0,1.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,17.0,10.0,2019.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,18.0,7.0,2020.0,6.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,8.0,18.0,7.0,2022.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,19.0,1.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,36.0,19.0,1.0,2022.0,4.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,19.0,2.0,2022.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,19.0,5.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,22.0,20.0,5.0,2022.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,21.0,20.0,9.0,2021.0,3.0,2.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,5.0,17.742424242424242
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,25.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,22.0,4.0,2022.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,22.0,5.0,2021.0,1.0,2.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,22.0,5.0,2022.0,20.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,23.0,7.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,23.0,9.0,2020.0,1.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,3.0,1.981012658227848
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,1.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,23.0,10.0,2020.0,1.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,23.0,11.0,2020.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,24.0,4.0,2022.0,4.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,24.0,6.0,2021.0,3.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,24.0,7.0,2021.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,24.0,8.0,2021.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,25.0,1.0,2022.0,9.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,25.0,6.0,2021.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,25.0,7.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,24.0,25.0,9.0,2019.0,7.0,8.56
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,26.0,4.0,2022.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,27.0,2.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,27.0,2.0,2021.0,11.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,27.0,6.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,28.0,5.0,2022.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,28.0,7.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,28.0,10.0,2019.0,1.0,8.56
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,29.0,1.0,2020.0,7.0,8.56
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,29.0,1.0,2021.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,29.0,3.0,2021.0,7.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,29.0,10.0,2019.0,7.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,15.0,29.0,12.0,2019.0,1.0,8.56
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,30.0,1.0,2021.0,5.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,30.0,6.0,2022.0,3.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,14.0,30.0,12.0,2021.0,8.0,3.533333333333333
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,2.0,12.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,11.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,35.0,17.0,12.0,2019.0,35.0,35.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,13.0,23.0,12.0,2019.0,13.0,13.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,11.0,10.0,12.0,2019.0,11.0,11.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,9.0,21.0,8.0,2019.0,9.0,9.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,30.0,10.0,2019.0,4.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,27.0,27.0,11.0,2019.0,27.0,27.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,11.0,9.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,20.0,9.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,16.0,11.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,12.0,27.0,12.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,16.0,12.0,2019.0,7.0,7.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,7.0,4.0,9.0,2019.0,5.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,7.0,11.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,19.0,12.0,2019.0,7.0,7.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,58.0,12.0,11.0,2019.0,58.0,57.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,12.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,5.0,6.0,12.0,2019.0,5.0,5.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,7.0,12.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",1.0,7.0,1.0,6.0,2022.0,7.0,7.0
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",2.0,40.0,14.0,6.0,2022.0,5.0,17.742424242424242
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,55.0,22.0,2.0,2022.0,50.0,32.473684210526315
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",2.0,2.0,31.0,5.0,2022.0,1.0,1.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4.0,17.0,3.0,5.0,2022.0,10.0,5.828451882845188
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",1.0,4.0,3.0,6.0,2022.0,4.0,4.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,33.0,7.0,2.0,2020.0,12.0,17.742424242424242
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,33.0,7.0,2.0,2020.0,21.0,17.742424242424242
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",1.0,2.0,21.0,2.0,2020.0,2.0,2.0
