curso,modalidad,carga_horaria,precio,precio_por_hora
EXCEL,ONLINE,32,102.6666667,3.208333333
EXCEL,PRESENCIAL,24,79,3.291666667
POWER BI,ONLINE,24,99,4.125
POWER BI,PRESENCIAL,24,99,4.125
SQL,ONLINE,16,90,5.625
GERENCIA DE SISTEMAS,ONLINE,120,540,4.5
GERENCIA DE SISTEMAS,PRESENCIAL,32,600,18.75
PYTHON,ONLINE,32,120,3.75
PYTHON,PRESENCIAL,32,120,3.75
MACHINE LEARNING CON R,ONLINE,40,169,4.225
PROJECT,ONLINE,48,140,2.916666667
