"area_familia","modalidad","fecha","canton","provincia","id_fact_oc_cp","id_razon_social","id_fecha","dia","tipo","especialidad_sector","curso_perfil","razon_social","estado","tipo_razon_social","fecha_resolucion","id_curso_perfil","carga_horaria","costo","mes","anio","num_cap_cer","total_ganancias","prediction(total_horas)"
"comunicación y artes gráficas","presencial","31-12-2021","guayaquil","guayas",14.0,66.0,6.0,31.0,"curso","métodos y técnicas de promoción y difusión","community management","altitudevm marketing digital cia.ltda.","calificado","operador de capacitación","23-05-2021",4113.0,30.0,290.1,12.0,2021.0,69.59102674719585,32518.159058849335,1200.0
"comunicación y artes gráficas","online","31-12-2021","guayaquil","guayas",15.0,66.0,6.0,31.0,"curso","métodos y técnicas de promoción y difusión","community management","altitudevm marketing digital cia.ltda.","calificado","operador de capacitación","23-05-2021",4117.0,30.0,262.5,12.0,2021.0,69.59102674719585,32518.159058849335,1200.0
"artes y artesanía","presencial","31-12-2021","quito","pichincha",16.0,84.0,6.0,31.0,"curso","cosmetología","depilación mecánica","anaya centro de formacion style & beauty care","calificado","operador de capacitación","23-05-2021",4106.0,30.0,528.6,12.0,2021.0,69.59102674719585,32518.159058849335,4096.0
"artes y artesanía","presencial","MISSING","quito","pichincha",1969.0,84.0,2143.0,28.0,"curso","cosmetología","depilación mecánica","anaya centro de formacion style & beauty care","calificado","operador de capacitación","23-05-2021",4106.0,30.0,528.6,2.0,2023.0,69.59102674719585,32518.159058849335,4096.0
"alimentación gastronomía y turismo","presencial","31-12-2021","pastaza","pastaza",17.0,100.0,6.0,31.0,"curso","cocina nacional e internacional","alta cocina y de vanguardia","ankukuna","calificado","operador de capacitación","13-12-2021",2589.0,125.0,2972.5,12.0,2021.0,69.59102674719585,32518.159058849335,3510.0
"alimentación gastronomía y turismo","presencial","31-12-2021","pastaza","pastaza",18.0,100.0,6.0,31.0,"curso","cocina nacional e internacional","cocina profesional","ankukuna","calificado","operador de capacitación","13-12-2021",2588.0,200.0,22.0,12.0,2021.0,69.59102674719585,32518.159058849335,5200.0
"alimentación gastronomía y turismo","presencial","31-12-2021","pastaza","pastaza",19.0,100.0,6.0,31.0,"curso","panadería y pastelería","reposteria profesional","ankukuna","calificado","operador de capacitación","13-12-2021",2590.0,130.0,3091.4,12.0,2021.0,69.59102674719585,32518.159058849335,3510.0
"alimentación gastronomía y turismo","presencial","31-12-2018","pastaza","pastaza",814.0,100.0,3.0,31.0,"curso","cocina nacional e internacional","alta cocina y de vanguardia","ankukuna","calificado","operador de capacitación","13-12-2021",2589.0,125.0,2972.5,12.0,2018.0,69.59102674719585,32518.159058849335,3510.0
"alimentación gastronomía y turismo","presencial","31-12-2018","pastaza","pastaza",815.0,100.0,3.0,31.0,"curso","cocina nacional e internacional","cocina profesional","ankukuna","calificado","operador de capacitación","13-12-2021",2588.0,200.0,22.0,12.0,2018.0,69.59102674719585,32518.159058849335,5200.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",20.0,121.0,6.0,31.0,"curso","electrónica industrial","control eléctrico industrial","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4871.0,25.0,42.75,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",21.0,121.0,6.0,31.0,"curso","electrónica industrial","controladores siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4869.0,30.0,51.3,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",22.0,121.0,6.0,31.0,"curso","electricidad industrial","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4875.0,36.0,61.56,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",23.0,121.0,6.0,31.0,"curso","redes eléctricas","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4880.0,40.0,68.4,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",24.0,121.0,6.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4874.0,18.0,30.78,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","online","31-12-2021","cuenca","azuay",25.0,121.0,6.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4883.0,18.0,30.06,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",26.0,121.0,6.0,31.0,"curso","electrónica industrial","micro plc logo! siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4870.0,30.0,51.3,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","31-12-2021","cuenca","azuay",27.0,121.0,6.0,31.0,"curso","electricidad industrial","micro plc logo! siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4877.0,40.0,68.4,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","online","31-12-2021","cuenca","azuay",28.0,121.0,6.0,31.0,"curso","electrónica industrial","micro plc logo! siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4882.0,30.0,44.1,12.0,2021.0,69.59102674719585,32518.159058849335,2090.0
"electricidad y electrónica","presencial","MISSING","cuenca","azuay",2124.0,121.0,2142.0,31.0,"curso","electrónica industrial","controladores siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4869.0,30.0,51.3,1.0,2023.0,69.59102674719585,32518.159058849335,1836.6666666666667
"electricidad y electrónica","presencial","31-12-2018","cuenca","azuay",816.0,121.0,3.0,31.0,"curso","electrónica industrial","controladores siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4869.0,30.0,51.3,12.0,2018.0,69.59102674719585,32518.159058849335,2014.0
"electricidad y electrónica","presencial","31-12-2018","cuenca","azuay",817.0,121.0,3.0,31.0,"curso","electricidad industrial","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4875.0,36.0,61.56,12.0,2018.0,69.59102674719585,32518.159058849335,2014.0
"electricidad y electrónica","presencial","31-12-2018","cuenca","azuay",818.0,121.0,3.0,31.0,"curso","redes eléctricas","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4880.0,40.0,68.4,12.0,2018.0,69.59102674719585,32518.159058849335,2014.0
"electricidad y electrónica","presencial","31-12-2018","cuenca","azuay",819.0,121.0,3.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4874.0,18.0,30.78,12.0,2018.0,69.59102674719585,32518.159058849335,2014.0
"electricidad y electrónica","online","31-12-2018","cuenca","azuay",820.0,121.0,3.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4883.0,18.0,30.06,12.0,2018.0,69.59102674719585,32518.159058849335,2014.0
"electricidad y electrónica","presencial","MISSING","cuenca","azuay",2186.0,121.0,2143.0,28.0,"curso","electrónica industrial","controladores siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4869.0,30.0,51.3,2.0,2023.0,69.59102674719585,32518.159058849335,1836.6666666666667
"electricidad y electrónica","presencial","MISSING","cuenca","azuay",2083.0,121.0,2143.0,28.0,"curso","redes eléctricas","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4880.0,40.0,68.4,2.0,2023.0,69.59102674719585,32518.159058849335,1836.6666666666667
"electricidad y electrónica","online","MISSING","cuenca","azuay",2148.0,121.0,2143.0,28.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4883.0,18.0,30.06,2.0,2023.0,69.59102674719585,32518.159058849335,1836.6666666666667
"electricidad y electrónica","presencial","31-12-2019","cuenca","azuay",947.0,121.0,4.0,31.0,"curso","electrónica industrial","controladores siemens","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4869.0,30.0,51.3,12.0,2019.0,69.59102674719585,32518.159058849335,1406.0
"electricidad y electrónica","presencial","31-12-2019","cuenca","azuay",948.0,121.0,4.0,31.0,"curso","electricidad industrial","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4875.0,36.0,61.56,12.0,2019.0,69.59102674719585,32518.159058849335,1406.0
"electricidad y electrónica","presencial","31-12-2019","cuenca","azuay",949.0,121.0,4.0,31.0,"curso","redes eléctricas","instalaciones eléctricas residenciales","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4880.0,40.0,68.4,12.0,2019.0,69.59102674719585,32518.159058849335,1406.0
"electricidad y electrónica","presencial","31-12-2019","cuenca","azuay",950.0,121.0,4.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4874.0,18.0,30.78,12.0,2019.0,69.59102674719585,32518.159058849335,1406.0
"electricidad y electrónica","online","31-12-2019","cuenca","azuay",951.0,121.0,4.0,31.0,"curso","electrotecnia y luminotecnia","instalación y configuración de sistemas de video vigilancia - cctv","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",4883.0,18.0,30.06,12.0,2019.0,69.59102674719585,32518.159058849335,1406.0
"procesos industriales","presencial","31-12-2021","rumiñahui","pichincha",29.0,129.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de emergencia","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1745.0,16.0,760.96,12.0,2021.0,69.59102674719585,32518.159058849335,1536.0
"procesos industriales","presencial","31-12-2021","rumiñahui","pichincha",30.0,129.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de primeros auxilios","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1756.0,16.0,760.96,12.0,2021.0,69.59102674719585,32518.159058849335,1536.0
"educación y capacitación","presencial","31-12-2021","rumiñahui","pichincha",31.0,129.0,6.0,31.0,"curso","formación de instructores facilitadores monitores maestros guías formadores","formación de formadores","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1761.0,40.0,150.0,12.0,2021.0,69.59102674719585,32518.159058849335,2480.0
"alimentación gastronomía y turismo","presencial","31-12-2021","rumiñahui","pichincha",32.0,129.0,6.0,31.0,"curso","turismo","presentación y conducta profesional","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1744.0,10.0,475.6,12.0,2021.0,69.59102674719585,32518.159058849335,1536.0
"procesos industriales","presencial","31-12-2021","rumiñahui","pichincha",33.0,129.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención en el manejo de desechos hospitalarios","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1747.0,40.0,760.8,12.0,2021.0,69.59102674719585,32518.159058849335,5240.0
"procesos industriales","presencial","31-12-2021","rumiñahui","pichincha",34.0,129.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención en trabajos en alturas","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1759.0,12.0,761.04,12.0,2021.0,69.59102674719585,32518.159058849335,1536.0
"procesos industriales","presencial","31-12-2021","rumiñahui","pichincha",35.0,129.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención y manejo de desechos","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1749.0,16.0,760.96,12.0,2021.0,69.59102674719585,32518.159058849335,1536.0
"alimentación gastronomía y turismo","presencial","31-12-2021","rumiñahui","pichincha",36.0,129.0,6.0,31.0,"curso","elaboración tecnología y producción de alimentos","seguridad, prevención de riesgos e higiene de limpieza general","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1740.0,40.0,760.8,12.0,2021.0,69.59102674719585,32518.159058849335,5160.0
"alimentación gastronomía y turismo","presencial","MISSING","rumiñahui","pichincha",1984.0,129.0,2142.0,31.0,"curso","turismo","presentación y conducta profesional","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1744.0,10.0,475.6,1.0,2023.0,69.59102674719585,32518.159058849335,1536.0
"alimentación gastronomía y turismo","presencial","MISSING","rumiñahui","pichincha",2001.0,129.0,2142.0,31.0,"curso","elaboración tecnología y producción de alimentos","seguridad, prevención de riesgos e higiene de limpieza general","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1740.0,40.0,760.8,1.0,2023.0,69.59102674719585,32518.159058849335,5160.0
"procesos industriales","presencial","31-12-2018","rumiñahui","pichincha",821.0,129.0,3.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención en el manejo de desechos hospitalarios","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1747.0,40.0,760.8,12.0,2018.0,69.59102674719585,32518.159058849335,5240.0
"procesos industriales","presencial","MISSING","rumiñahui","pichincha",2070.0,129.0,2143.0,28.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de primeros auxilios","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1756.0,16.0,760.96,2.0,2023.0,69.59102674719585,32518.159058849335,1536.0
"procesos industriales","presencial","MISSING","rumiñahui","pichincha",2079.0,129.0,2143.0,28.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención en trabajos en alturas","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1759.0,12.0,761.04,2.0,2023.0,69.59102674719585,32518.159058849335,1536.0
"administración y legislación","presencial","31-12-2019","rumiñahui","pichincha",952.0,129.0,4.0,31.0,"curso","gestión del talento humano","liderazgo transformador","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",1735.0,10.0,593.6999999999999,12.0,2019.0,69.59102674719585,32518.159058849335,1536.0
"procesos industriales","presencial","31-12-2021","quito","pichincha",37.0,147.0,6.0,31.0,"curso","textil","confección básica","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",2088.0,50.0,529.0,12.0,2021.0,69.59102674719585,32518.159058849335,2640.0
"procesos industriales","presencial","31-12-2021","quito","pichincha",38.0,147.0,6.0,31.0,"curso","textil","corte y confección","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",2074.0,150.0,2478.0,12.0,2021.0,69.59102674719585,32518.159058849335,8580.0
"mecánica industrial y minería","presencial","31-12-2021","quito","pichincha",39.0,147.0,6.0,31.0,"curso","soldadura","soldadura electrica","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",2075.0,150.0,241.50000000000003,12.0,2021.0,69.59102674719585,32518.159058849335,8580.0
"mecánica industrial y minería","presencial","31-12-2019","quito","pichincha",953.0,147.0,4.0,31.0,"curso","soldadura","soldadura electrica","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",2075.0,150.0,241.50000000000003,12.0,2019.0,69.59102674719585,32518.159058849335,8580.0
"alimentación gastronomía y turismo","presencial","31-12-2021","quito","pichincha",40.0,180.0,6.0,31.0,"curso","turismo","diseño de eventos sociales","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2555.0,600.0,39654.0,12.0,2021.0,69.59102674719585,32518.159058849335,8520.0
"alimentación gastronomía y turismo","virtual","31-12-2021","quito","pichincha",41.0,180.0,6.0,31.0,"curso","turismo","diseño de eventos sociales","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2556.0,600.0,3132.0,12.0,2021.0,69.59102674719585,32518.159058849335,8520.0
"educación y capacitación","presencial","31-12-2021","quito","pichincha",42.0,180.0,6.0,31.0,"curso","capacitación","diseño de jardines","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2577.0,500.0,3437.9365079365057,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","virtual","31-12-2021","quito","pichincha",43.0,180.0,6.0,31.0,"curso","capacitación","diseño de jardines","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2578.0,500.0,3437.9365079365057,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"forestal ecología y medio ambiente","virtual","31-12-2021","quito","pichincha",44.0,180.0,6.0,31.0,"curso","plantación conservación y explotación de especies forestales","mantenimiento jardines i","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2533.0,30.0,84.3,12.0,2021.0,69.59102674719585,32518.159058849335,2765.75
"alimentación gastronomía y turismo","virtual","MISSING","quito","pichincha",2114.0,180.0,2142.0,31.0,"curso","turismo","diseño de eventos sociales","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2556.0,600.0,3132.0,1.0,2023.0,69.59102674719585,32518.159058849335,8520.0
"educación y capacitación","virtual","MISSING","quito","pichincha",1961.0,180.0,2142.0,31.0,"curso","capacitación","diseño de jardines","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",2578.0,500.0,3437.9365079365057,1.0,2023.0,69.59102674719585,32518.159058849335,8640.0
"procesos industriales","presencial","31-12-2021","santo domingo","santo domingo de los tsachilas",45.0,186.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","plan de emergencias y autoprotección","baldeon quishpe paul enrique","calificado","operador de capacitación","16-05-2021",31.0,40.0,75.19999999999999,12.0,2021.0,69.59102674719585,32518.159058849335,1616.0
"procesos industriales","presencial","31-12-2021","santo domingo","santo domingo de los tsachilas",46.0,186.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención de riesgos laborales","baldeon quishpe paul enrique","calificado","operador de capacitación","16-05-2021",30.0,40.0,200.0,12.0,2021.0,69.59102674719585,32518.159058849335,1616.0
"procesos industriales","presencial","MISSING","santo domingo","santo domingo de los tsachilas",1941.0,186.0,2143.0,28.0,"curso","seguridad prevención de riesgos e higiene industrial","prevención de riesgos laborales","baldeon quishpe paul enrique","calificado","operador de capacitación","16-05-2021",30.0,40.0,200.0,2.0,2023.0,69.59102674719585,32518.159058849335,1616.0
"educación y capacitación","presencial","31-12-2021","quito","pichincha",47.0,194.0,6.0,31.0,"curso","capacitación","confort del enfermo, enfocado a su cuidado físico y emocional","barahona reyes mercedes lucia","calificado","operador de capacitación","14-12-2021",5233.0,268.0,1842.733968253967,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","31-12-2021","quito","pichincha",48.0,194.0,6.0,31.0,"curso","capacitación","desarrollo y estimulación del niño de 1 a 18 meses","barahona reyes mercedes lucia","calificado","operador de capacitación","14-12-2021",5229.0,267.0,1835.8580952380944,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","31-12-2021","quito","pichincha",49.0,194.0,6.0,31.0,"curso","capacitación","mecánica corporal y su aplicación en el manejo y cuidado del enfermo","barahona reyes mercedes lucia","calificado","operador de capacitación","14-12-2021",5232.0,266.0,1828.982222222221,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","31-12-2018","quito","pichincha",823.0,194.0,3.0,31.0,"curso","capacitación","formas de auxiliar a niños que sufren accidentes caseros","barahona reyes mercedes lucia","calificado","operador de capacitación","14-12-2021",5230.0,267.0,1835.8580952380944,12.0,2018.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","MISSING","quito","pichincha",2099.0,194.0,2143.0,28.0,"curso","capacitación","confort del enfermo, enfocado a su cuidado físico y emocional","barahona reyes mercedes lucia","calificado","operador de capacitación","14-12-2021",5233.0,268.0,1842.733968253967,2.0,2023.0,69.59102674719585,32518.159058849335,8640.0
"procesos industriales","presencial","31-12-2021","quito","pichincha",50.0,196.0,6.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de emergencia","barrazueta & asociados consultora para el cambio organizacional cia. ltda.","calificado","operador de capacitación","25-11-2021",5110.0,22.0,401.06,12.0,2021.0,69.59102674719585,32518.159058849335,1752.0
"procesos industriales","presencial","31-12-2018","quito","pichincha",824.0,196.0,3.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas contra incendios","barrazueta & asociados consultora para el cambio organizacional cia. ltda.","calificado","operador de capacitación","25-11-2021",5107.0,8.0,528.72,12.0,2018.0,69.59102674719585,32518.159058849335,472.0
"procesos industriales","presencial","31-12-2018","quito","pichincha",825.0,196.0,3.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de comunicación","barrazueta & asociados consultora para el cambio organizacional cia. ltda.","calificado","operador de capacitación","25-11-2021",5109.0,8.0,528.72,12.0,2018.0,69.59102674719585,32518.159058849335,472.0
"procesos industriales","presencial","31-12-2018","quito","pichincha",826.0,196.0,3.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de evacuación y rescate","barrazueta & asociados consultora para el cambio organizacional cia. ltda.","calificado","operador de capacitación","25-11-2021",5111.0,8.0,528.72,12.0,2018.0,69.59102674719585,32518.159058849335,472.0
"procesos industriales","presencial","31-12-2018","quito","pichincha",827.0,196.0,3.0,31.0,"curso","seguridad prevención de riesgos e higiene industrial","brigadas de primeros auxilios","barrazueta & asociados consultora para el cambio organizacional cia. ltda.","calificado","operador de capacitación","25-11-2021",5108.0,8.0,528.72,12.0,2018.0,69.59102674719585,32518.159058849335,472.0
