volumen_capacitados,nombre, facebook_seguidores,instagram_seguidores
5465,cvimsa ecuador c-vimsaecuador s.a.,60,108
3431,seguridad industrial pompier chano seinpomep cia. ltda.,648,0
2850,aguilar benavides juan miguel,7917,
2810,cetecform cia. ltda.,19000
1286,novillo mendoza max andres,24000
1224,capacitacion profesional geniusec cia.ltda.,12000
1142,klavempresarial compañia anonima,6100
786,chuquicondor pilamunga carmen yolanda (sherydan international group),714
397,instituto tecnologico superior almirante illingworth,9700
241,corporacion ecuatoriana para el desarrollo de la investigacion y la academia cedia,5500
205,asociacion red de talento humano del ecuador redthumanoec s.a.,57100
