time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-02-05 01:28:37.431333,5,pcoc,0,0,0,15305,18366,15305,0,0,START PROGRAM
2023-02-09 00:36:39.024957,5,pcoc,0,0,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:38:08.484854,5,pcoc,1,0,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:38:58.916688,5,pcoc,1,0,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:38:59.084684,5,pcoc,1,1,0,15305,18366,15305,0,0,falied session
2023-02-09 00:39:11.225172,5,pcoc,1,1,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:41:01.779972,5,pcoc,2,1,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:41:42.785972,5,pcoc,2,1,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:41:43.050971,5,pcoc,2,2,0,15305,18366,15305,0,0,falied session
2023-02-09 00:41:45.744969,5,pcoc,2,2,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:43:10.896165,5,pcoc,3,2,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:44:05.560647,5,pcoc,3,2,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:44:05.678651,5,pcoc,3,3,0,15305,18366,15305,0,0,falied session
2023-02-09 00:44:19.596813,5,pcoc,3,3,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:46:17.834609,5,pcoc,4,3,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:46:53.530071,5,pcoc,4,3,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:46:54.640873,5,pcoc,4,4,0,15305,18366,15305,0,0,falied session
2023-02-09 00:46:58.966558,5,pcoc,4,4,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:48:19.875278,5,pcoc,5,4,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:48:55.880660,5,pcoc,5,4,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:48:56.126029,5,pcoc,5,5,0,15305,18366,15305,0,0,falied session
2023-02-09 00:49:00.311338,5,pcoc,5,5,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:50:12.157191,5,pcoc,6,5,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:50:48.781177,5,pcoc,6,5,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:50:49.115180,5,pcoc,6,6,0,15305,18366,15305,0,0,falied session
2023-02-09 00:50:57.213445,5,pcoc,6,6,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:51:50.211996,5,pcoc,7,6,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:52:25.874655,5,pcoc,7,6,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:52:26.010932,5,pcoc,7,7,0,15305,18366,15305,0,0,falied session
2023-02-09 00:52:30.987245,5,pcoc,7,7,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:53:27.698734,5,pcoc,8,7,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:54:03.267149,5,pcoc,8,7,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:54:03.672153,5,pcoc,8,8,0,15305,18366,15305,0,0,falied session
2023-02-09 00:54:08.602043,5,pcoc,8,8,0,15305,18366,15305,0,0,RESTART PROGRAM
2023-02-09 00:54:58.206983,5,pcoc,9,8,0,15305,18366,15305,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 00:55:33.834636,5,pcoc,9,8,0,15305,18366,15305,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 00:55:34.008653,5,pcoc,9,9,0,15305,18366,15305,0,0,falied session
2023-02-09 00:55:43.945224,5,pcoc,9,9,0,15305,18366,15305,0,0,RESTART PROGRAM
