"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"desconocido","guayaquil","guayas",10.0,102.0,962.0,0.0,6.0,"14-09-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,14.0,9.0,2020.0,6.0
"desconocido","guayaquil","guayas",11.0,102.0,963.0,0.0,18.0,"14-09-2021","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",3.0,750.0,1.0,14.0,9.0,2021.0,18.0
"desconocido","guayaquil","guayas",12.0,102.0,1120.0,0.0,6.0,"16-12-2021","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,16.0,12.0,2021.0,6.0
"desconocido","guayaquil","guayas",13.0,102.0,1229.0,0.0,30.0,"18-07-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",5.0,1250.0,2.0,18.0,7.0,2022.0,30.0
"desconocido","guayaquil","guayas",14.0,102.0,1299.0,0.0,6.0,"19-07-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,19.0,7.0,2022.0,6.0
"desconocido","guayaquil","guayas",15.0,102.0,1429.0,0.0,42.0,"21-04-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",7.0,1750.0,1.0,21.0,4.0,2022.0,39.0
"desconocido","guayaquil","guayas",16.0,102.0,1446.0,0.0,6.0,"21-07-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,21.0,7.0,2022.0,6.0
"desconocido","guayaquil","guayas",17.0,102.0,1614.0,0.0,12.0,"23-11-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",2.0,500.0,1.0,23.0,11.0,2020.0,12.0
"desconocido","guayaquil","guayas",18.0,102.0,1816.0,0.0,6.0,"26-10-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,26.0,10.0,2020.0,6.0
"desconocido","guayaquil","guayas",19.0,102.0,1894.0,0.0,6.0,"27-11-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,27.0,11.0,2020.0,6.0
"desconocido","guayaquil","guayas",20.0,102.0,1910.0,0.0,36.0,"28-02-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",6.0,1500.0,1.0,28.0,2.0,2020.0,39.0
"desconocido","guayaquil","guayas",21.0,102.0,1952.0,0.0,6.0,"28-09-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,28.0,9.0,2020.0,6.0
"desconocido","guayaquil","guayas",22.0,102.0,2029.0,0.0,12.0,"29-11-2019","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",2.0,500.0,1.0,29.0,11.0,2019.0,12.0
"habilitado","latacunga","cotopaxi",1653.0,1192.0,18.0,0.0,6.0,"01-04-2021","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,1.0,4.0,2021.0,6.0
"habilitado","latacunga","cotopaxi",1679.0,1192.0,816.0,0.0,12.0,"12-07-2022","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",2.0,500.0,1.0,12.0,7.0,2022.0,12.0
"habilitado","latacunga","cotopaxi",1705.0,1192.0,1738.0,0.0,6.0,"25-09-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,25.0,9.0,2019.0,6.0
"habilitado","latacunga","cotopaxi",1714.0,1192.0,2019.0,0.0,12.0,"29-09-2021","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",2.0,500.0,1.0,29.0,9.0,2021.0,12.0
"habilitado","latacunga","cotopaxi",1715.0,1192.0,2075.0,0.0,30.0,"30-08-2021","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",5.0,1250.0,1.0,30.0,8.0,2021.0,30.0
"habilitado","latacunga","cotopaxi",1669.0,1192.0,556.0,0.0,6.0,"08-12-2016","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,8.0,12.0,2016.0,6.0
"habilitado","latacunga","cotopaxi",1671.0,1192.0,625.0,0.0,12.0,"09-12-2016","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",2.0,500.0,1.0,9.0,12.0,2016.0,12.0
"habilitado","latacunga","cotopaxi",1694.0,1192.0,1304.0,0.0,144.0,"19-08-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",24.0,6000.0,1.0,19.0,8.0,2019.0,144.0
"habilitado","latacunga","cotopaxi",1660.0,1192.0,350.0,0.0,6.0,"05-12-2018","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,5.0,12.0,2018.0,6.0
"habilitado","latacunga","cotopaxi",1663.0,1192.0,425.0,0.0,12.0,"07-01-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",2.0,500.0,1.0,7.0,1.0,2019.0,12.0
"habilitado","latacunga","cotopaxi",1678.0,1192.0,807.0,0.0,42.0,"12-06-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",7.0,1750.0,1.0,12.0,6.0,2019.0,42.0
"habilitado","latacunga","cotopaxi",1680.0,1192.0,918.0,0.0,6.0,"14-01-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,14.0,1.0,2019.0,6.0
"habilitado","latacunga","cotopaxi",1685.0,1192.0,1023.0,0.0,78.0,"15-08-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",13.0,3250.0,1.0,15.0,8.0,2019.0,78.0
"habilitado","latacunga","cotopaxi",1687.0,1192.0,1118.0,0.0,48.0,"16-12-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",8.0,2000.0,2.0,16.0,12.0,2019.0,48.0
"habilitado","latacunga","cotopaxi",1689.0,1192.0,1187.0,0.0,36.0,"17-12-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",6.0,1500.0,1.0,17.0,12.0,2019.0,36.0
"habilitado","latacunga","cotopaxi",1695.0,1192.0,1312.0,0.0,78.0,"19-09-2019","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",13.0,3250.0,3.0,19.0,9.0,2019.0,78.0
"habilitado","latacunga","cotopaxi",1654.0,1192.0,78.0,0.0,6.0,"02-03-2017","instituto superior tecnológico vicente leon","organismo evaluador de la conformidad","24-05-2021",1.0,250.0,1.0,2.0,3.0,2017.0,6.0
