"area_familia","especialidad_sector","modalidad","fecha","razon_social","fecha_resolucion","canton","provincia","id_fact_oc_cp","id_razon_social","id_curso_perfil","id_fecha","dia","mes","tipo","curso_perfil","estado","tipo_razon_social","num_cap_cer","total_horas","total_ganancias","carga_horaria","costo","anio","porcentaje_asistencia","prediction(porcentaje_asistencia)"
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2018","MISSING","MISSING","MISSING","MISSING",815.0,100.0,2588.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",20.0,4000.0,440.0,200.0,22.0,2018.0,0.0,6.944444444444445
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",20.0,121.0,4871.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",2.0,50.0,85.5,25.0,42.75,2021.0,0.0,1.414677276746242
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",21.0,121.0,4869.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,30.0,51.3,30.0,51.3,2021.0,0.0,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",22.0,121.0,4875.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",55.0,1980.0,3385.8,36.0,61.56,2021.0,0.0,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",23.0,121.0,4880.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",55.0,2200.0,3762.000000000001,40.0,68.4,2021.0,0.0,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",24.0,121.0,4874.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",47.0,846.0,1446.66,18.0,30.78,2021.0,0.0,0.5810281672350638
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2021","MISSING","MISSING","cuenca","azuay",25.0,121.0,4883.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",47.0,846.0,1412.82,18.0,30.06,2021.0,0.0,0.5810281672350638
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",26.0,121.0,4870.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",3.0,90.0,153.89999999999998,30.0,51.3,2021.0,0.0,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",27.0,121.0,4877.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",3.0,120.0,205.2,40.0,68.4,2021.0,0.0,6.944444444444445
"electricidad y electrónica","electrónica industrial","online","31-12-2021","MISSING","MISSING","cuenca","azuay",28.0,121.0,4882.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",3.0,90.0,132.3,30.0,44.1,2021.0,0.0,1.414677276746242
"electricidad y electrónica","electrónica industrial","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",816.0,121.0,4869.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",5.0,150.0,256.5,30.0,51.3,2018.0,0.0,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",817.0,121.0,4875.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",53.0,1908.0,3262.6800000000003,36.0,61.56,2018.0,0.0,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",818.0,121.0,4880.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",53.0,2120.0,3625.2,40.0,68.4,2018.0,0.0,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",819.0,121.0,4874.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",21.0,378.0,646.38,18.0,30.78,2018.0,0.0,0.5810281672350638
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2018","MISSING","MISSING","cuenca","azuay",820.0,121.0,4883.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",21.0,378.0,631.26,18.0,30.06,2018.0,0.0,0.5810281672350638
"electricidad y electrónica","electrónica industrial","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",947.0,121.0,4869.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",17.0,510.0,872.0999999999999,30.0,51.3,2019.0,0.0,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",948.0,121.0,4875.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",37.0,1332.0,2277.7200000000003,36.0,61.56,2019.0,0.0,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",949.0,121.0,4880.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",37.0,1480.0,2530.8,40.0,68.4,2019.0,0.0,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",950.0,121.0,4874.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",17.0,306.0,523.26,18.0,30.78,2019.0,0.0,0.5810281672350638
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2019","MISSING","MISSING","cuenca","azuay",951.0,121.0,4883.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",17.0,306.0,511.02,18.0,30.06,2019.0,0.0,0.5810281672350638
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",29.0,129.0,1745.0,6.0,31.0,12.0,"curso","brigadas de emergencia","calificado","operador de capacitación",96.0,1536.0,73052.16,16.0,760.96,2021.0,0.0,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",30.0,129.0,1756.0,6.0,31.0,12.0,"curso","brigadas de primeros auxilios","calificado","operador de capacitación",11.0,176.0,8370.560000000001,16.0,760.96,2021.0,0.0,0.0643707756678468
"educación y capacitación","formación de instructores facilitadores monitores maestros guías formadores","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",31.0,129.0,1761.0,6.0,31.0,12.0,"curso","formación de formadores","calificado","operador de capacitación",1.0,40.0,150.0,40.0,150.0,2021.0,0.0,0.0333333333333333
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",32.0,129.0,1744.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",15.0,150.0,7134.0,10.0,475.6,2021.0,0.0,6.944444444444445
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",33.0,129.0,1747.0,6.0,31.0,12.0,"curso","prevención en el manejo de desechos hospitalarios","calificado","operador de capacitación",152.0,6080.0,115641.6,40.0,760.8,2021.0,0.0,33.909530124742766
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",34.0,129.0,1759.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,360.0,22831.2,12.0,761.04,2021.0,0.0,0.6598004505954297
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",35.0,129.0,1749.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,64.0,3043.84,16.0,760.96,2021.0,0.0,0.0643707756678468
"alimentación gastronomía y turismo","elaboración tecnología y producción de alimentos","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",36.0,129.0,1740.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",129.0,5160.0,98143.2,40.0,760.8,2021.0,0.0,0.1262626262626262
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","MISSING","pichincha",821.0,129.0,1747.0,3.0,31.0,12.0,"curso","prevención en el manejo de desechos hospitalarios","calificado","operador de capacitación",131.0,5240.0,99664.8,40.0,760.8,2018.0,0.0,33.909530124742766
"administración y legislación","gestión del talento humano","presencial","31-12-2019","MISSING","MISSING","MISSING","pichincha",952.0,129.0,1735.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,40.0,2374.8,10.0,593.6999999999999,2019.0,0.0,13.727327276906806
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",37.0,147.0,2088.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,200.0,2116.0,50.0,529.0,2021.0,0.0,6.944444444444445
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",38.0,147.0,2074.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",27.0,4050.0,66906.0,150.0,2478.0,2021.0,0.0,6.944444444444445
"MISSING","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",39.0,147.0,2075.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",7.0,1050.0,1690.5000000000002,150.0,241.50000000000003,2021.0,0.0,6.944444444444445
"MISSING","MISSING","presencial","31-12-2019","MISSING","MISSING","quito","pichincha",953.0,147.0,2075.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",10.0,1500.0,2415.0000000000005,150.0,241.50000000000003,2019.0,0.0,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",40.0,180.0,2555.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",29.0,17400.0,1149966.0,600.0,39654.0,2021.0,0.0,6.944444444444445
