"razon_social","estado","fecha_resolucion","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","fecha","tipo_razon_social","volumen_cer","volumen_horas","volumen_ganancias","total_perfiles","dia","mes","anio","volumen_porcentaje_asistencia","prediction(volumen_porcentaje_asistencia)"
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1681.0,1192.0,937.0,"14-03-2018","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,14.0,3.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1708.0,1192.0,1845.0,"27-02-2018","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,27.0,2.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1665.0,1192.0,507.0,"08-02-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,8.0,2.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1686.0,1192.0,1053.0,"15-12-2016","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,15.0,12.0,2016.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1674.0,1192.0,725.0,"11-03-2020","organismo evaluador de la conformidad",5.0,30.0,1250.0,1.0,11.0,3.0,2020.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1667.0,1192.0,533.0,"08-07-2019","organismo evaluador de la conformidad",18.0,108.0,4500.0,1.0,8.0,7.0,2019.0,0.0,0.9268313621990469
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1652.0,1192.0,13.0,"01-02-2018","organismo evaluador de la conformidad",2.0,12.0,500.0,2.0,1.0,2.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1658.0,1192.0,237.0,"04-04-2019","organismo evaluador de la conformidad",20.0,120.0,5000.0,1.0,4.0,4.0,2019.0,0.0,0.9268313621990469
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1659.0,1192.0,323.0,"05-06-2019","organismo evaluador de la conformidad",6.0,36.0,1500.0,1.0,5.0,6.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1661.0,1192.0,377.0,"06-03-2019","organismo evaluador de la conformidad",6.0,36.0,1500.0,2.0,6.0,3.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1662.0,1192.0,405.0,"06-08-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,6.0,8.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1664.0,1192.0,457.0,"07-05-2022","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,7.0,5.0,2022.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1668.0,1192.0,549.0,"08-09-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,8.0,9.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1670.0,1192.0,599.0,"09-06-2017","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,9.0,6.0,2017.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1673.0,1192.0,694.0,"10-10-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,10.0,10.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1676.0,1192.0,745.0,"11-07-2017","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,11.0,7.0,2017.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1677.0,1192.0,813.0,"12-06-2017","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,12.0,6.0,2017.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1690.0,1192.0,1201.0,"18-01-2019","organismo evaluador de la conformidad",4.0,24.0,1000.0,2.0,18.0,1.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1691.0,1192.0,1217.0,"18-04-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,18.0,4.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1693.0,1192.0,1298.0,"19-06-2019","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,19.0,6.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1697.0,1192.0,1428.0,"21-03-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,21.0,3.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1699.0,1192.0,1444.0,"21-06-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,21.0,6.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1700.0,1192.0,1611.0,"23-09-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,23.0,9.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1701.0,1192.0,1624.0,"23-12-2016","organismo evaluador de la conformidad",2.0,12.0,500.0,2.0,23.0,12.0,2016.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1710.0,1192.0,1853.0,"27-03-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,27.0,3.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1711.0,1192.0,1907.0,"27-12-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,27.0,12.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3308.0,1494.0,26.0,"01-04-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,1.0,4.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3365.0,1494.0,935.0,"14-02-2022","organismo evaluador de la conformidad",7.0,42.0,1750.0,1.0,14.0,2.0,2022.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3400.0,1494.0,1454.0,"21-07-2022","organismo evaluador de la conformidad",3.0,18.0,750.0,2.0,21.0,7.0,2022.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3411.0,1494.0,1622.0,"23-11-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,23.0,11.0,2020.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3445.0,1494.0,2037.0,"29-11-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,29.0,11.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3427.0,1494.0,1793.0,"26-05-2021","organismo evaluador de la conformidad",3.0,18.0,750.0,2.0,26.0,5.0,2021.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3316.0,1494.0,160.0,"03-03-2021","organismo evaluador de la conformidad",2.0,12.0,500.0,2.0,3.0,3.0,2021.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3373.0,1494.0,1057.0,"15-12-2020","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,15.0,12.0,2020.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3380.0,1494.0,1140.0,"17-02-2021","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,17.0,2.0,2021.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3381.0,1494.0,1141.0,"17-02-2022","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,17.0,2.0,2022.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3392.0,1494.0,1306.0,"19-07-2021","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,19.0,7.0,2021.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3401.0,1494.0,1484.0,"21-12-2020","organismo evaluador de la conformidad",18.0,108.0,4500.0,1.0,21.0,12.0,2020.0,0.0,0.9268313621990469
"MISSING","habilitado","MISSING","MISSING","MISSING",3407.0,1494.0,1576.0,"23-03-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,23.0,3.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3408.0,1494.0,1580.0,"23-04-2021","organismo evaluador de la conformidad",9.0,54.0,2250.0,1.0,23.0,4.0,2021.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3417.0,1494.0,1673.0,"24-08-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,24.0,8.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3423.0,1494.0,1746.0,"25-09-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,25.0,9.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3424.0,1494.0,1758.0,"25-11-2019","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,25.0,11.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3428.0,1494.0,1812.0,"26-08-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,26.0,8.0,2020.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3443.0,1494.0,1995.0,"29-04-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,29.0,4.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3333.0,1494.0,392.0,"06-05-2022","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,6.0,5.0,2022.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3310.0,1494.0,37.0,"01-07-2019","organismo evaluador de la conformidad",8.0,48.0,2000.0,1.0,1.0,7.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3348.0,1494.0,649.0,"10-02-2020","organismo evaluador de la conformidad",4.0,24.0,1000.0,1.0,10.0,2.0,2020.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3378.0,1494.0,1127.0,"16-12-2020","organismo evaluador de la conformidad",14.0,84.0,3500.0,2.0,16.0,12.0,2020.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3385.0,1494.0,1210.0,"18-02-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,18.0,2.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3353.0,1494.0,706.0,"10-12-2018","organismo evaluador de la conformidad",5.0,30.0,1250.0,2.0,10.0,12.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3322.0,1494.0,287.0,"04-12-2018","organismo evaluador de la conformidad",31.0,186.0,7750.0,1.0,4.0,12.0,2018.0,0.0,0.9268313621990469
"MISSING","habilitado","MISSING","MISSING","MISSING",3328.0,1494.0,358.0,"05-12-2018","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,5.0,12.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3371.0,1494.0,1024.0,"15-07-2019","organismo evaluador de la conformidad",8.0,48.0,2000.0,1.0,15.0,7.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3377.0,1494.0,1108.0,"16-09-2019","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,16.0,9.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3391.0,1494.0,1304.0,"19-07-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,19.0,7.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3395.0,1494.0,1331.0,"19-11-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,19.0,11.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3397.0,1494.0,1349.0,"20-02-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,20.0,2.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3435.0,1494.0,1900.0,"27-11-2018","organismo evaluador de la conformidad",5.0,30.0,1250.0,1.0,27.0,11.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3444.0,1494.0,2030.0,"29-10-2018","organismo evaluador de la conformidad",6.0,36.0,1500.0,2.0,29.0,10.0,2018.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3432.0,1494.0,1869.0,"27-06-2019","organismo evaluador de la conformidad",6.0,36.0,1500.0,1.0,27.0,6.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","MISSING","MISSING","MISSING",3358.0,1494.0,756.0,"11-08-2020","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,11.0,8.0,2020.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3393.0,1494.0,1319.0,"19-09-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,19.0,9.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","MISSING","MISSING","MISSING",3442.0,1494.0,1994.0,"29-04-2019","organismo evaluador de la conformidad",3.0,18.0,750.0,3.0,29.0,4.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","MISSING","MISSING","MISSING",3412.0,1494.0,1647.0,"24-03-2022","organismo evaluador de la conformidad",4.0,24.0,1000.0,1.0,24.0,3.0,2022.0,0.0,0.11488901095686185
