id_ci,id_curso,num_cap
114,193,29
114,195,79
114,194,26
,,45
,,9
,,4
,,2
,,11
,,6
,,7
191,327,16
360,598,46
360,597,56
590,872,45
885,1267,28
325,554,7
325,555,22
325,556,139
16,20,1
16,19,5
1297,1855,1
194,332,1
194,333,2
1151,1656,16
,,1
235,2268,3
235,2269,10
235,422,276
235,423,70
278,489,2
148,255,2
886,1269,77
886,1270,7
1510,2154,16
,,39
681,999,24
549,823,19
1221,1753,5
,,1
932,,2
932,1332,32
232,,3
232,,32
232,,4
232,415,10
232,414,3
937,1342,17
,,22
1003,1440,4
820,1192,180
820,1191,31
239,430,346
239,1075,236
239,2144,30
239,2145,39
239,429,475
239,2143,36
1812,2562,16
,,5
,,5
,,6
,,6
972,1392,20
,,46
645,943,4
645,944,34
2052,2903,1
,,1
1683,2385,25
,,51
1255,1794,10
1255,1793,572
249,446,47
249,448,19
249,447,18
,,138
,,58
,,2
463,,27
463,,84
540,1385,7
540,815,37
540,1386,52
1389,1989,89
,,1
516,789,18
516,2324,8
516,790,519
516,2323,11
694,1017,18
1026,1489,62
1026,1488,23
352,589,226
123,2036,17
123,211,12
263,470,224
263,468,502
263,469,55
,,256
,,26
,,32
1201,1728,5
,,2
,,2
1029,2854,7
831,1209,7
1284,1828,92
1633,2315,32
,,114
,,68
,,39
,,221
,,142
,,119
37,42,55
543,817,130
,,140
,,33
181,310,24
181,309,34
,,3
1084,1546,102
,,41
,,9
,,92
,,38
,,34
1558,2213,3
2034,2875,28
2034,2874,18
1903,2688,2
1903,2687,1
,,794
,,12
,,1
,,2
,,676
,,1
1818,2569,20
,,31
,,10
,,15
,,53
,,19
,,37
,,9
379,612,14
,,1
,,157
,,5
518,,2
1966,2783,8
931,1331,14
1394,,1
1394,,12
846,2633,8
846,1223,60
1117,1598,2
40,46,14
40,47,1
997,,13
997,,5
94,152,3
,,38
,,28
1277,1822,1
,,67
,,27
269,479,39
269,480,37
,,1
,,19
,,1
,,6
1357,2856,402
1357,2010,349
1357,1947,177
1357,1948,50
1357,,89
1157,1665,17
465,716,4
39,45,28
577,856,8
,,2
,,6
1624,2304,403
1528,2176,38
868,1250,16
7,12,3
646,945,8
646,946,4
1765,,13
1765,2485,97
1765,2486,10
,,4
,,52
,,13
1190,,10
1190,1712,412
1677,2377,3
1471,2098,205
1471,2097,1
495,2321,11
495,758,481
495,757,40
641,2543,2
641,934,5
641,933,1
252,451,16
,,1
,,12
,,2
,,12
,,247
,,125
,,27
,,41
,,51
319,541,15
319,542,30
319,540,125
414,658,2
,,12
,,4
,,12
,,2
971,1389,1
971,1388,17
971,1387,3
479,738,66
479,2028,282
479,2029,7
,,1
,,3
,,25
341,577,14
341,578,50
341,1567,37
1398,2003,84
862,1241,7
862,2648,24
862,1240,27
862,2647,16
862,1242,79
371,606,98
799,1158,12
799,1159,12
799,1157,12
,,23
,,8
767,1119,27
1135,1630,19
,,4
69,106,41
69,,99
69,1803,20
69,1802,51
69,841,84
69,839,61
69,104,206
69,840,8
69,103,192
69,100,175
69,102,353
69,101,122
69,105,382
69,842,22
1264,1805,19
1264,1804,68
199,346,188
199,345,28
224,1998,39
224,1996,33
224,1102,115
224,398,257
224,1995,90
224,396,31
1380,,341
1380,1974,305
1380,,42
1380,,17
1380,,389
1380,,18
1380,,46
1380,1975,96
136,,1
136,234,3
136,1904,484
136,847,33
136,845,124
136,233,1233
136,232,1291
136,1902,84
136,846,663
136,1903,82
561,834,1
137,237,21
137,235,17
137,236,69
137,238,6
1093,1560,1
1093,1559,1
,,30
,,94
1203,,9
1203,1732,8
1203,1731,1
,,4
1663,2355,202
1663,2353,150
1663,,1
1663,2356,1
1663,2352,17
1663,2354,6
1850,,8
1850,2622,21
1850,2620,20
1850,2621,150
940,1346,161
940,1347,100
940,1345,2
,,27
387,626,97
387,627,47
1657,2343,22
437,685,1
437,,26
537,811,4
687,1009,1
95,155,6
95,154,14
,,54
337,574,2
57,82,4
1488,2121,8
1488,2122,4
1488,2120,4
1139,1633,5
1658,2346,85
1658,2345,90
739,1084,23
1904,2689,4
2040,2880,1
473,732,11
72,852,204
72,113,49
72,112,229
72,851,260
72,853,99
1160,1669,61
99,167,38
99,166,3
99,967,19
99,168,36
,,1
747,1095,1
747,1096,53
700,1029,8
131,224,4
,,15
1456,2079,16
,,29
,,115
,,141
1400,2006,99
755,1105,106
812,1180,7
812,1179,40
1021,1481,10
481,739,1
1004,1443,15
1004,1442,180
1004,1441,270
1004,,42
385,620,235
,,16
36,41,23
36,40,1
351,588,26
1096,1563,29
1096,1562,33
1096,1564,24
727,1070,2
526,802,69
794,1152,79
617,908,34
1327,1897,1
1770,2496,62
1770,,9
1183,1701,3
1183,1700,8
317,538,425
317,537,111
317,536,6
464,715,4
751,1101,1
243,435,33
243,434,1
564,837,13
237,425,77
237,1676,6
237,426,16
729,1074,124
1253,1791,5
,,103
,,23
,,124
,,14
,,815
828,1201,1019
45,56,1
804,1166,24
653,955,3
,,405
,,15
,,79
85,134,9
85,135,1
,,31
638,928,2
2046,2888,1
2046,2889,2
1210,,24
1210,1740,77
1210,,10
1210,,7
1210,1739,23
2064,2916,10
2064,2917,11
462,711,11
462,710,26
,,2
1050,1520,13
,,32
880,1262,4
880,1263,4
616,905,7
616,906,2
1391,1990,6
1391,1991,7
1514,2159,5
,,182
1396,2001,70
1396,2000,91
1610,2288,16
558,831,331
558,832,471
558,1751,63
558,1749,18
975,1400,45
,,10
,,496
,,130
822,1195,13
619,909,37
619,1736,12
1490,,6
1490,2124,100
1490,,31
1490,,1358
1490,,9
1490,,45
1490,,1
,,4
,,7
1474,2102,41
1581,2240,4
1581,2242,3
504,770,10
300,515,2
180,308,6
706,1040,1
,,108
,,5
1444,2066,31
1444,2065,12
,,28
,,23
93,150,109
93,149,133
,,2
1809,2557,1
864,1243,11
864,1244,18
864,1245,13
392,631,260
313,531,84
1197,1722,4
784,1143,25
784,,86
784,1144,13
666,976,5
666,975,54
