id_ci,id_curso,num_cap
,121,58
,311,5
,,5
405,706,77
405,705,70
,,85
,,18
407,751,10
408,2627,14
321,1782,16
321,,20
322,48,1
324,1073,1
324,1072,1
324,1071,2
325,1504,127
326,1504,127
325,2700,185
326,2700,185
327,1529,1
327,864,1
327,268,809
327,867,55
327,865,19
327,866,570
328,1969,10
330,1889,3
333,775,7
334,775,7
335,1249,12
336,1249,12
335,1080,45
336,1080,45
335,1248,16
336,1248,16
335,1247,4
336,1247,4
337,1088,301
338,1088,301
339,1088,301
337,1090,6
338,1090,6
339,1090,6
337,2175,205
338,2175,205
339,2175,205
337,1089,360
338,1089,360
339,1089,360
341,1023,11
341,1021,6
341,1022,47
,187,134
,188,79
,,12
,,8
344,673,18
345,673,18
344,674,26
345,674,26
347,903,3
348,,5
352,1550,3
352,1551,9
353,1896,170
,388,2
356,2211,27
,,136
,,356
,,62
,,59
,,90
,,1
357,719,10
359,1485,1
359,1486,26
,1035,11
,340,40
,342,245
,344,240
,341,2
,1034,150
360,1473,64
361,1473,64
363,2601,1
364,2601,1
363,1150,14
364,1150,14
365,871,13
,,16
371,193,29
372,193,29
371,195,79
372,195,79
371,194,26
372,194,26
,,45
,,9
,,4
,,2
,,11
,,6
,,7
,327,16
377,598,46
378,598,46
377,597,56
378,597,56
379,872,45
380,1267,28
381,554,7
381,555,22
381,556,139
383,20,1
383,19,5
413,1855,1
414,1855,1
417,332,1
417,333,2
418,1656,16
,,1
,2268,3
,2269,10
,422,276
,423,70
421,489,2
,255,2
422,1269,77
422,1270,7
424,2154,16
425,2154,16
,,39
429,999,24
430,823,19
431,1753,5
,,1
432,,2
432,1332,32
,,3
,,32
,,4
,415,10
,414,3
436,1342,17
,,22
437,1440,4
439,1192,180
439,1191,31
440,430,346
440,1075,236
440,2144,30
440,2145,39
440,429,475
440,2143,36
441,2562,16
,,5
,,5
,,6
,,6
442,1392,20
,,46
445,943,4
445,944,34
446,2903,1
,,1
448,2385,25
449,2385,25
,,51
456,1794,10
457,1794,10
456,1793,572
457,1793,572
,446,47
,448,19
,447,18
,,138
,,58
,,2
463,,27
463,,84
467,1385,7
468,1385,7
467,815,37
468,815,37
467,1386,52
468,1386,52
464,1989,89
465,1989,89
,,1
470,789,18
471,789,18
472,789,18
470,2324,8
471,2324,8
472,2324,8
470,790,519
471,790,519
472,790,519
470,2323,11
471,2323,11
472,2323,11
473,1017,18
477,1489,62
477,1488,23
479,589,226
480,589,226
,2036,17
,211,12
,470,224
,468,502
,469,55
,,256
,,26
,,32
481,1728,5
,,2
,,2
483,2854,7
484,2854,7
485,1209,7
488,1828,92
489,2315,32
,,114
,,68
,,39
,,221
,,142
,,119
,42,55
496,817,130
,,140
,,33
,310,24
,309,34
,,3
505,1546,102
,,41
,,9
,,92
,,38
,,34
510,2213,3
511,2875,28
511,2874,18
512,2688,2
512,2687,1
,,794
,,12
,,1
,,2
,,676
,,1
513,2569,20
514,2569,20
,,31
,,10
,,15
,,53
,,19
,,37
,,9
517,612,14
,,1
,,157
,,5
518,,2
519,2783,8
521,1331,14
522,,1
522,,12
523,2633,8
524,2633,8
523,1223,60
524,1223,60
525,1598,2
526,46,14
526,47,1
527,,13
527,,5
,152,3
,,38
,,28
531,1822,1
532,1822,1
,,67
,,27
,479,39
,480,37
,,1
,,19
,,1
,,6
543,2856,402
544,2856,402
545,2856,402
543,2010,349
544,2010,349
545,2010,349
543,1947,177
544,1947,177
545,1947,177
543,1948,50
544,1948,50
545,1948,50
543,,89
544,,89
545,,89
549,1665,17
551,716,4
,45,28
,856,8
,,2
,,6
554,2304,403
557,2176,38
558,1250,16
560,12,3
561,945,8
561,946,4
564,,13
564,2485,97
564,2486,10
,,4
,,52
,,13
568,,10
568,1712,412
570,2377,3
571,2098,205
571,2097,1
572,2321,11
573,2321,11
572,758,481
573,758,481
572,757,40
573,757,40
574,2543,2
575,2543,2
574,934,5
575,934,5
574,933,1
575,933,1
,451,16
,,1
,,12
,,2
,,12
,,247
,,125
,,27
,,41
,,51
576,541,15
576,542,30
576,540,125
577,658,2
,,12
,,4
,,12
,,2
582,1389,1
582,1388,17
582,1387,3
584,738,66
585,738,66
584,2028,282
585,2028,282
584,2029,7
585,2029,7
,,1
,,3
,,25
590,577,14
591,577,14
592,577,14
590,578,50
591,578,50
592,578,50
590,1567,37
591,1567,37
592,1567,37
594,2003,84
588,1241,7
589,1241,7
588,2648,24
589,2648,24
588,1240,27
589,1240,27
588,2647,16
589,2647,16
588,1242,79
589,1242,79
596,606,98
598,1158,12
598,1159,12
598,1157,12
,,23
,,8
600,1119,27
602,1630,19
603,1630,19
,,4
,106,41
,,99
,1803,20
,1802,51
,841,84
,839,61
,104,206
,840,8
,103,192
,100,175
,102,353
,101,122
,105,382
,842,22
604,1805,19
604,1804,68
,346,188
,345,28
,1998,39
,1996,33
,1102,115
,398,257
,1995,90
,396,31
605,,341
605,1974,305
605,,42
605,,17
605,,389
605,,18
605,,46
605,1975,96
,,1
,234,3
,1904,484
,847,33
,845,124
,233,1233
,232,1291
,1902,84
,846,663
,1903,82
610,834,1
,237,21
,235,17
,236,69
,238,6
611,1560,1
611,1559,1
,,30
,,94
613,,9
613,1732,8
613,1731,1
,,4
618,2355,202
618,2353,150
618,,1
618,2356,1
618,2352,17
618,2354,6
621,,8
621,2622,21
621,2620,20
621,2621,150
622,1346,161
623,1346,161
624,1346,161
622,1347,100
623,1347,100
624,1347,100
622,1345,2
623,1345,2
624,1345,2
,,27
625,626,97
625,627,47
626,2343,22
627,685,1
628,685,1
627,,26
628,,26
631,811,4
633,1009,1
,155,6
,154,14
,,54
637,574,2
,82,4
639,2121,8
639,2122,4
639,2120,4
640,1633,5
641,1633,5
642,2346,85
643,2346,85
642,2345,90
643,2345,90
644,1084,23
647,2689,4
648,2880,1
650,732,11
651,732,11
,852,204
,113,49
,112,229
,851,260
,853,99
653,1669,61
654,1669,61
,167,38
,166,3
,967,19
,168,36
,,1
655,1095,1
655,1096,53
656,1029,8
657,1029,8
,224,4
,,15
659,2079,16
,,29
,,115
,,141
661,2006,99
662,1105,106
664,1180,7
664,1179,40
665,1481,10
668,739,1
670,1443,15
670,1442,180
670,1441,270
670,,42
671,620,235
,,16
674,41,23
674,40,1
675,588,26
676,1563,29
676,1562,33
676,1564,24
677,1070,2
678,802,69
679,802,69
680,1152,79
681,1152,79
682,908,34
683,908,34
684,1897,1
686,2496,62
686,,9
687,1701,3
687,1700,8
688,538,425
688,537,111
688,536,6
693,715,4
694,1101,1
695,1101,1
,435,33
,434,1
697,837,13
,425,77
,1676,6
,426,16
699,1074,124
700,1074,124
701,1074,124
702,1791,5
703,1791,5
,,103
,,23
,,124
,,14
,,815
704,1201,1019
713,56,1
715,1166,24
716,955,3
717,955,3
,,405
,,15
,,79
,134,9
,135,1
,,31
723,928,2
724,2888,1
724,2889,2
725,,24
726,,24
725,1740,77
726,1740,77
725,,10
726,,10
725,,7
726,,7
725,1739,23
726,1739,23
727,2916,10
727,2917,11
760,711,11
760,710,26
,,2
728,1520,13
729,1520,13
,,32
731,1262,4
732,1262,4
731,1263,4
732,1263,4
733,905,7
733,906,2
734,1990,6
734,1991,7
735,2159,5
,,182
738,2001,70
738,2000,91
740,2288,16
741,2288,16
744,831,331
745,831,331
744,832,471
745,832,471
744,1751,63
745,1751,63
744,1749,18
745,1749,18
746,1400,45
,,10
,,496
,,130
748,1195,13
749,909,37
750,909,37
751,909,37
