time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-15 23:43:27.575955,1,ci,0,0,0,34,68,34,0,0,START PROGRAM
2023-01-15 23:43:56.370550,1,ci,1,0,0,34,68,34,0,0,"Page Loaded, Go to Page"
2023-01-15 23:44:10.360057,1,ci,1,0,0,34,68,34,0,0,Resume Mining
2023-01-15 23:44:11.382857,1,ci,1,0,0,34,68,34,0,0,CSV Not Found
2023-01-15 23:44:35.364782,1,ci,1,0,0,34,68,34,10,6,Saved Data
2023-01-15 23:45:00.957771,1,ci,1,0,0,34,68,35,20,6,Saved Data
2023-01-15 23:45:28.012903,1,ci,1,0,0,34,68,36,30,6,Saved Data
2023-01-15 23:45:35.066893,1,ci,1,0,0,34,68,37,40,6,Saved Data
2023-01-15 23:45:43.689351,1,ci,1,0,0,34,68,38,50,6,Saved Data
2023-01-15 23:46:02.304177,1,ci,1,0,0,34,68,39,60,6,Saved Data
2023-01-15 23:46:18.030155,1,ci,1,0,0,34,68,40,70,6,Saved Data
2023-01-15 23:46:44.359803,1,ci,1,0,0,34,68,41,80,6,Saved Data
2023-01-15 23:47:19.323974,1,ci,1,0,0,34,68,42,90,6,Saved Data
2023-01-15 23:47:35.672984,1,ci,1,0,0,34,68,43,100,6,Saved Data
2023-01-15 23:47:51.689670,1,ci,1,0,0,34,68,44,110,6,Saved Data
2023-01-15 23:48:07.820994,1,ci,1,0,0,34,68,45,120,6,Saved Data
2023-01-15 23:48:28.292236,1,ci,1,0,0,34,68,46,130,6,Saved Data
2023-01-15 23:48:50.690387,1,ci,1,0,0,34,68,47,140,6,Saved Data
2023-01-15 23:49:08.066658,1,ci,1,0,0,34,68,48,150,6,Saved Data
2023-01-15 23:49:26.715496,1,ci,1,0,0,34,68,49,160,6,Saved Data
2023-01-15 23:49:46.065906,1,ci,1,0,0,34,68,50,170,6,Saved Data
2023-01-15 23:50:08.335702,1,ci,1,0,0,34,68,51,180,6,Saved Data
2023-01-15 23:50:28.250753,1,ci,1,0,0,34,68,52,190,6,Saved Data
2023-01-15 23:50:58.458320,1,ci,1,0,0,34,68,53,200,6,Saved Data
2023-01-15 23:51:11.135098,1,ci,1,0,0,34,68,54,210,6,Saved Data
2023-01-15 23:51:31.165573,1,ci,1,0,0,34,68,55,220,6,Saved Data
2023-01-15 23:51:53.055862,1,ci,1,0,0,34,68,56,230,6,Saved Data
2023-01-15 23:52:05.776198,1,ci,1,0,0,34,68,57,240,6,Saved Data
2023-01-15 23:52:24.614793,1,ci,1,0,0,34,68,58,250,6,Saved Data
2023-01-15 23:52:47.345623,1,ci,1,0,0,34,68,59,260,6,Saved Data
2023-01-15 23:53:09.927625,1,ci,1,0,0,34,68,60,270,6,Saved Data
2023-01-15 23:53:37.485939,1,ci,1,0,0,34,68,61,280,6,Saved Data
2023-01-15 23:53:43.230879,1,ci,1,0,0,34,68,62,290,6,Saved Data
2023-01-15 23:53:49.186813,1,ci,1,0,0,34,68,63,300,6,Saved Data
2023-01-15 23:53:54.741356,1,ci,1,0,0,34,68,64,310,6,Saved Data
2023-01-15 23:54:00.410200,1,ci,1,0,0,34,68,65,320,6,Saved Data
2023-01-15 23:54:06.526963,1,ci,1,0,0,34,68,66,330,6,Saved Data
2023-01-15 23:54:12.017896,1,ci,1,0,0,34,68,67,340,6,Saved Data
2023-01-15 23:54:17.719773,1,ci,1,0,0,34,68,68,350,6,Saved Data
2023-01-15 23:54:17.725006,1,ci,1,0,0,34,68,68,0,0,End Session
2023-01-15 23:54:17.740525,1,ci,1,0,0,34,68,68,350,6,END PROGRAM
