id_oc,id_curso_perfil,num_cap_cer
111,,56
111,,19
111,,48
111,,28
111,,20
111,,1
111,,27
111,,6
111,,10
111,,13
111,,18
656,,10
656,,12
656,,27
656,,15
464,,9
593,,15
643,,26
643,,70
643,,8
643,,32
643,,20
643,,13
643,,10
643,,63
643,,1
643,,6
643,,109
643,,10
643,,50
205,,23
205,,11
205,,270
205,,16
205,,69
205,,18
205,,24
,,10
,,9
,,6
,,64
,,7
,,1
564,,1
564,,7
564,,9
564,,9
564,,1
564,,1
564,,4
186,1648,57
186,,5
186,,2
186,,8
388,,7
388,,7
,,1
,,121
,,259
,,213
,,4
,,1
,,163
,,135
,,1
,,145
,,1
,,370
,,286
,,242
,,180
,,7
,,36
,,14
,,9
,,5
,,9
93,,73
93,,4
93,1186,4
93,1193,18
93,,1
93,1180,99
93,1196,12
93,1188,69
93,1189,8
93,,73
93,1194,4
93,1187,19
93,,187
93,1190,83
93,1197,5
93,,18
93,,89
93,1191,19
93,,25
93,,19
93,1177,7
93,,99
93,,189
93,,8
93,1183,110
93,1184,114
93,1178,52
93,,36
93,1192,22
93,,30
93,,17
93,,27
93,,2
93,,15
698,,3
698,,3
698,,12
698,,2
698,,6
698,,6
698,,12
698,,21
698,,1
698,,2
558,,1
558,,5
558,,3
558,,3
558,,26
558,,10
,,6
,,29
,,49
,,11
603,,80
603,,1
603,,92
603,,75
603,,347
603,,264
603,,48
603,,10
603,,47
603,,22
,,37
,,6
,,16
,,20
,,16
,,1
,,10
,,2
114,,9
114,,10
114,,29
114,,34
114,,12
114,,9
114,,6
114,,18
114,,21
,,30
,,46
,,8
,,1
,,10
,,83
,,33
,,150
576,,4
576,,2
576,,1
576,,1
576,,2
576,,3
576,,7
576,,2
667,,14
667,,1
563,,58
699,,6
,2202,234
,2207,6
,2206,15
,2203,83
252,,13
252,,21
252,,256
252,,2
252,,282
252,,437
252,,34
252,,92
252,,327
252,,1
252,,8
252,,48
252,,1
252,,4
252,,17
252,,69
252,,50
252,,917
252,,14
252,,1
252,,12
252,,19
252,,20
252,,3
252,,40
252,,1
252,,63
252,,98
252,,2
252,,121
252,,29
252,,16
252,,59
252,,16
252,,585
252,,16
252,,21
252,,15
252,,13
252,,4
252,,9
252,,4
252,,25
252,,382
252,,7
252,,253
,,793
352,,70
352,,210
537,,1
537,,8
537,,1
537,,8
537,,6
615,,1
615,,2
615,,17
615,,4
615,,5
552,,85
141,,2
141,,4
141,,6
141,,158
141,,4
141,,9
141,,56
141,,23
141,,42
141,,1
141,,86
141,,4
141,,48
141,,13
141,,171
141,,1
141,,28
141,,280
141,,21
141,,6
141,,5
141,,87
141,,683
141,,16
141,,520
141,,4
141,,4
141,,1
141,,48
141,,3
141,,8
141,,32
141,,245
141,,1
141,,3
141,,4
141,,6
141,,4
141,,15
141,,32
141,,11
141,,3
141,,30
141,,7
141,,2
141,,7
141,,55
141,,7
141,,4
664,,29
35,,1
35,,1
35,,252
35,,1
35,,58
35,,5
35,,4
35,,1
35,,7
35,612,163
35,610,45
35,613,45
35,609,73
35,608,19
,,37
,,62
,,18
6,,131
6,,159
6,,22
6,,191
6,,17
6,,38
6,,33
6,,94
6,2362,42
6,,14
612,,8
612,,2
612,,5
612,,20
612,,1
612,,25
612,,2
612,,2
612,,3
116,,6
398,,46
,,2
,,1
,,10
,,62
,,1
,,105
,,49
,,2
,,206
,,1
,,2
,,2
,,28
,,30
,,4
,,33
,,9
,,1
,,21
,,1
,,1
,,7
,,15
,,1
,,72
,,22
,,42
,,4
,,4
,,2
,,1
,,1
,,1
,,31
,,184
,,7
,,10
,,5
315,,3
315,,3
315,,1
315,,30
315,,55
315,,1
315,,6
315,,1
315,,66
315,,1
315,,1
315,,9
315,,1
315,,1
315,,32
315,,6
315,,473
315,,13
315,,8
315,,1
315,,5
315,,4
315,,20
315,,7
315,,1
315,,6
315,,8
315,,16
315,,6
315,,1
481,,50
481,,10
481,,73
481,,69
481,,16
481,,9
481,,9
481,,9
293,2344,320
293,2345,320
293,2342,534
293,2343,534
474,,1
474,,22
474,,27
474,,3
474,,1
221,,28
221,,60
53,,7
53,,22
,,6
,,1
191,1766,23
541,,1
541,,17
541,,2
541,,11
541,,7
541,,16
541,,10
541,,10
541,,1
541,,7
541,,80
541,,200
541,,65
640,,16
640,,9
101,,82
101,,86
101,,63
101,,9
101,,43
101,,90
101,,24
101,,86
101,,62
101,,42
101,,42
101,,78
101,,42
101,,15
101,,10
101,,21
,,1
,,20
,,1
,,1
449,,29
449,,16
449,,5
449,,5
449,,37
449,,6
449,,6
78,,10
78,,12
78,,4
78,,3
78,,15
78,,1
78,,6
78,,16
78,,1
78,,2
78,,5
78,,7
78,,4
78,,11
204,,23
204,,30
204,,19
204,,8
204,,113
404,,11
404,,2
404,,35
404,,13
404,,48
404,,6
,,179
,,54
,,5
,,28
,,4
,,10
,,12
,,71
,,2
,,5
,,38
,,9
,,39
,,1
,,45
,,23
,,2
,,250
,,1020
,,2
,,1
,,5
,,2
,,1
,,2
,,7
,,9
,,52
,,44
,,10
,,16
,,21
,,8
,,45
,,1
,,4
,,1
,,122
,,412
,,40
,,150
,,8
,,1
,,8
,,66
,,9
,,91
,,47
,,497
,,52
,,221
,,88
,,8
,,31
,,5
,,18
,,316
,,6
,,7
,,8
,,6
,,37
553,,4
553,,1
553,,4
553,,1
553,,2
553,,1
553,,5
553,,2
273,,5
368,,8
368,,8
,,7
,,1
,,18
,,7
,,15
285,,14
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,1
285,,15
285,,46
285,,13
285,,13
285,,12
285,,108
285,,8
285,,41
285,,11
285,,1
285,,11
285,,19
285,,38
285,,21
285,,434
285,,603
285,,61
285,,92
285,,85
285,,135
192,,19
192,,2
192,1774,1
192,1768,1
192,1773,198
192,1771,64
192,1770,10
107,,24
107,,62
107,,71
107,,114
107,,71
107,,11
107,,88
107,,109
107,,24
650,,91
650,,1
650,,93
650,,235
650,,5
650,,83
650,,1
650,,6
650,,40
650,,142
650,,10
650,,90
650,,162
690,,2
372,,11
372,,8
372,,29
372,,37
372,,29
372,,40
372,,24
372,,8
372,,8
372,,8
372,,8
372,,24
372,,8
372,,8
372,,36
372,,8
372,,37
372,,7
372,,40
180,1512,22
180,1517,19
180,1595,19
180,1519,2
180,1553,2
180,1589,2
180,1596,2
180,1490,17
180,1518,17
180,1554,17
180,1597,17
180,1503,249
180,1504,249
180,1591,249
180,1476,33
180,1545,33
180,1482,6
180,1424,22
180,1474,22
180,1561,22
180,1508,3
180,1600,3
180,1513,5
180,1547,5
180,1548,5
180,1429,22
180,1472,22
180,1542,22
180,1543,22
180,1514,28
180,1599,28
180,1450,169
180,1556,14
180,1439,15
180,1557,15
180,1473,25
180,1560,25
180,1510,25
180,1466,28
180,1496,248
180,1499,248
180,1500,248
180,1538,248
180,1559,248
180,1527,7
180,1562,6
180,,10
180,1501,14
180,1502,14
180,1497,125
180,1529,125
180,1495,194
180,1516,194
180,1528,194
180,1536,194
180,1567,194
180,1581,194
180,1604,194
180,1606,194
180,1608,194
180,1609,194
180,1436,9
180,1577,9
180,1515,159
180,1530,159
180,1566,159
180,1435,732
180,1505,732
180,1506,732
180,1579,732
180,1582,732
180,1602,732
180,1603,732
180,1588,128
180,1507,695
180,1531,695
180,1533,695
180,1534,695
180,1592,695
180,1610,695
180,1611,695
180,1612,695
180,1569,9
180,1583,8
180,1584,8
180,1616,28
180,1617,28
180,1455,15
180,1570,15
180,,7
180,1448,12
180,1488,85
180,1535,85
180,1552,85
180,1520,103
180,1537,103
