time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:52:40.167115,4,ci_lca,0,0,0,132,165,132,0,0,START PROGRAM
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:53:37.977824,4,ci_lca,1,0,0,132,165,132,0,0,"Page Loaded, Go to Page"
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:54:38.853385,4,ci_lca,1,0,0,132,165,131,0,0,Check Expired session
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:54:44.582391,4,ci_lca,1,0,0,132,165,132,0,0,Resume Mining
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:54:45.683331,4,ci_lca,1,0,0,132,165,132,0,0,CSV Not Found
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:05.477743,4,ci_lca,1,0,0,132,165,132,10,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:15.060875,4,ci_lca,1,0,0,132,165,133,20,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:23.222790,4,ci_lca,1,0,0,132,165,134,30,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:28.444043,4,ci_lca,1,0,0,132,165,135,40,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:33.858405,4,ci_lca,1,0,0,132,165,136,50,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:39.507249,4,ci_lca,1,0,0,132,165,137,60,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-16 00:55:48.108222,4,ci_lca,1,0,0,132,165,138,70,6,Saved Data
time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
