id_fact_ci_rs,id_razon_social,id_fecha,volumen_cap,volumen_horas,volumen_ganancias,total_cursos
587,881,6,14.0,336.0,1246.56,1
588,883,6,68.0,1280.0,8057.6,2
589,884,6,2.0,80.0,89.60000000000001,1
590,885,6,15.0,352.0,2420.3073015873006,2
591,891,6,1.0,16.0,26.72,1
592,902,6,977.0,25400.0,17708.399999999998,4
593,906,6,17.0,408.0,2864.16,1
594,910,6,4.0,160.0,673.6,1
595,92,5,10.0,400.0,934.0,2
596,922,7,403.0,16120.0,16120.0,1
597,925,6,38.0,608.0,200.64000000000001,1
598,926,7,16.0,256.0,640.0,1
599,929,6,3.0,96.0,628.8,1
600,930,6,12.0,416.0,1275.52,2
601,934,7,107.0,4040.0,12509.999999999998,2
602,937,6,412.0,6592.0,45325.75492063489,1
603,941,7,3.0,120.0,540.0,1
604,942,6,412.0,16480.0,226220.8,4
605,945,6,532.0,20320.0,139717.7396825396,3
606,946,6,8.0,200.0,1140.8,3
607,950,5,170.0,5840.0,40155.09841269839,3
608,952,6,2.0,16.0,336.96,1
609,961,6,21.0,840.0,1244.8,3
610,965,6,355.0,14200.0,84105.09206349202,3
611,967,5,101.0,2840.0,15711.2,3
612,97,6,10.0,160.0,3604.8,1
613,970,6,84.0,3360.0,5040.0,1
614,971,6,153.0,3408.0,25959.84,5
615,972,6,98.0,3920.0,16503.2,1
616,974,6,36.0,1248.0,4700.16,3
617,977,6,27.0,216.0,540.0,1
618,979,6,19.0,304.0,2090.2653968253953,1
619,98,7,1.0,40.0,275.03492063492047,1
620,980,6,87.0,1696.0,14660.8,2
621,982,6,401.0,8720.0,59957.61269841266,2
622,985,6,1.0,16.0,110.01396825396819,1
623,986,6,2.0,80.0,140.0,2
624,989,7,9.0,336.0,427.68000000000006,2
625,99,6,67.0,536.0,3685.467936507934,1
626,995,7,376.0,10472.0,42352.32,5
