id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
0,1,4015,6,34.0,1360.0,18700.0,0.0
1,1,4016,6,34.0,1360.0,17979.2,0.0
2,1,4021,6,1.0,150.0,537.0,0.0
3,1,4022,6,1.0,150.0,1031.3809523809518,0.0
4,4,3261,6,25.0,1500.0,7500.0,0.0
5,12,4617,6,5.0,150.0,1450.5,0.0
6,12,4616,6,244.0,9760.0,134200.0,0.0
7,12,4619,6,244.0,9760.0,9760.0,0.0
8,15,1720,6,23.0,1380.0,9488.704761904755,0.0
9,15,1721,6,9.0,270.0,1856.4857142857131,0.0
10,50,735,6,7.0,2184.0,28872.480000000003,0.0
11,50,742,6,7.0,2800.0,37016.0,0.0
12,50,732,6,35.0,12600.0,86635.99999999996,0.0
13,50,736,6,35.0,14000.0,96262.22222222218,0.0
14,66,4113,6,573.0,17190.0,166227.30000000002,0.0
15,66,4117,6,573.0,17190.0,150412.5,0.0
16,84,4106,6,1.0,30.0,528.6,0.0
17,100,2589,6,4.0,500.0,11890.0,0.0
18,100,2588,6,26.0,5200.0,572.0,0.0
19,100,2590,6,27.0,3510.0,83467.8,0.0
20,121,4871,6,2.0,50.0,85.5,0.0
21,121,4869,6,1.0,30.0,51.3,0.0
22,121,4875,6,55.0,1980.0,3385.8,0.0
23,121,4880,6,55.0,2200.0,3762.0000000000005,0.0
24,121,4874,6,47.0,846.0,1446.66,0.0
25,121,4883,6,47.0,846.0,1412.82,0.0
26,121,4870,6,3.0,90.0,153.89999999999998,0.0
27,121,4877,6,3.0,120.0,205.20000000000002,0.0
28,121,4882,6,3.0,90.0,132.3,0.0
29,129,1745,6,96.0,1536.0,73052.16,0.0
30,129,1756,6,11.0,176.0,8370.560000000001,0.0
31,129,1761,6,1.0,40.0,150.0,0.0
32,129,1744,6,15.0,150.0,7134.0,0.0
33,129,1747,6,152.0,6080.0,115641.59999999999,0.0
34,129,1759,6,30.0,360.0,22831.199999999997,0.0
35,129,1749,6,4.0,64.0,3043.84,0.0
36,129,1740,6,129.0,5160.0,98143.2,0.0
37,147,2088,6,4.0,200.0,2116.0,0.0
38,147,2074,6,27.0,4050.0,66906.0,0.0
39,147,2075,6,7.0,1050.0,1690.5000000000002,0.0
40,180,2555,6,29.0,17400.0,1149966.0,0.0
41,180,2556,6,29.0,17400.0,90828.0,0.0
42,180,2577,6,14.0,7000.0,48131.11111111108,0.0
43,180,2578,6,14.0,7000.0,48131.11111111108,0.0
44,180,2533,6,41.0,1230.0,3456.2999999999997,0.0
45,186,31,6,1.0,40.0,75.19999999999999,0.0
46,186,30,6,19.0,760.0,3800.0,0.0
47,194,5233,6,1.0,268.0,1842.733968253967,0.0
48,194,5229,6,1.0,267.0,1835.8580952380942,0.0
49,194,5232,6,1.0,266.0,1828.982222222221,0.0
50,196,5110,6,1.0,22.0,401.06,0.0
51,212,4958,6,337.0,5392.0,178205.59999999998,0.0
52,212,4959,6,337.0,5392.0,9921.28,0.0
53,212,4955,6,29.0,232.0,15332.880000000001,0.0
54,212,4965,6,29.0,232.0,426.88,0.0
55,212,4947,6,136.0,1088.0,71905.92,0.0
56,212,4948,6,136.0,1088.0,2001.92,0.0
57,212,4943,6,35.0,280.0,18505.2,0.0
58,212,4962,6,35.0,280.0,515.2,0.0
59,212,4949,6,181.0,2896.0,95712.79999999999,0.0
60,212,4950,6,181.0,2896.0,5328.64,0.0
61,212,4945,6,187.0,2992.0,98885.59999999999,0.0
62,212,4946,6,187.0,2992.0,5505.280000000001,0.0
63,212,4942,6,87.0,696.0,45998.64,0.0
64,212,4944,6,87.0,696.0,1280.64,0.0
65,212,4951,6,267.0,2136.0,141168.24000000002,0.0
66,212,4952,6,267.0,2136.0,25802.88,0.0
67,212,4960,6,11.0,88.0,5815.92,0.0
68,212,4961,6,11.0,88.0,161.92000000000002,0.0
69,212,4953,6,59.0,472.0,31194.480000000003,0.0
70,212,4963,6,59.0,472.0,868.48,0.0
71,212,4954,6,4.0,32.0,2114.88,0.0
72,212,4964,6,4.0,32.0,673.92,0.0
73,212,4956,6,61.0,976.0,32256.799999999996,0.0
74,212,4957,6,61.0,976.0,1795.8400000000001,0.0
75,220,2483,6,22.0,880.0,1504.8000000000002,0.0
76,220,2484,6,22.0,880.0,3300.0,0.0
77,220,2485,6,22.0,880.0,3581.6000000000004,0.0
78,220,2486,6,22.0,880.0,3581.6000000000004,0.0
79,220,6232,6,22.0,132.0,5500.0,0.0
80,220,6233,6,22.0,132.0,5500.0,0.0
81,220,2479,6,114.0,4560.0,7797.6,0.0
82,220,2480,6,114.0,4560.0,86731.2,0.0
83,220,2481,6,114.0,4560.0,5152.799999999999,0.0
84,220,2482,6,114.0,4560.0,52850.4,0.0
85,235,2657,6,1.0,40.0,275.03492063492047,0.0
86,243,796,6,5.0,200.0,2644.0000000000005,0.0
87,246,2929,6,213.0,51120.0,844502.3999999999,0.0
88,246,2930,6,13.0,3120.0,51542.399999999994,0.0
89,246,2928,6,33.0,6600.0,109032.0,0.0
90,246,2933,6,32.0,7680.0,126873.59999999999,0.0
91,246,2932,6,44.0,10560.0,174451.19999999998,0.0
92,257,3955,6,723.0,108450.0,469588.5,0.0
93,257,3956,6,547.0,82050.0,355276.5,0.0
94,257,3957,6,37.0,5550.0,24031.5,0.0
95,263,4844,6,4.0,160.0,2115.2000000000003,0.0
96,263,5719,6,16.0,96.0,4000.0,0.0
97,303,5511,6,1.0,48.0,1176.0,0.0
98,303,5512,6,1.0,48.0,80.16,0.0
99,303,5504,6,9.0,360.0,630.0,0.0
100,303,5507,6,16.0,192.0,480.0,0.0
101,303,5506,6,292.0,3504.0,8760.0,0.0
102,303,5501,6,202.0,1616.0,153713.92,0.0
103,303,5510,6,202.0,1616.0,7272.0,0.0
104,303,5490,6,3.0,180.0,97.20000000000002,0.0
105,303,5503,6,11.0,440.0,770.0,0.0
106,303,5499,6,55.0,440.0,65309.200000000004,0.0
107,333,670,6,1.0,40.0,275.03492063492047,0.008333333333333333
108,333,659,6,28.0,1120.0,7700.977777777773,0.23333333333333336
109,333,665,6,20.0,800.0,5500.69841269841,0.16666666666666669
110,333,657,6,142.0,5680.0,39054.95873015871,1.1833333333333333
111,333,667,6,226.0,9040.0,62157.89206349203,1.8833333333333333
112,333,662,6,175.0,7000.0,48131.11111111108,1.4583333333333333
113,333,702,6,16.0,640.0,4400.5587301587275,0.13333333333333333
114,333,711,6,7.0,280.0,1925.2444444444432,0.05833333333333334
