id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
2068,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva avanzada,semipresencial,120,69.6
2069,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva en la familia,presencial,20,137.51746031746023
2070,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva en la primera infancia,presencial,20,137.51746031746023
2071,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,encouragement consultant - autoconocimiento y empoderamiento,presencial,20,137.51746031746023
2072,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,recreación educativa y tiempo libre,semipresencial,60,3.0
2073,curso,educación y capacitación,capacitación,desarrollo de competencias profesionales a partir de voluntariado: voluntarear,virtual,40,75.19999999999999
2074,curso,procesos industriales,textil,corte y confección,presencial,150,2478.0
2075,curso,mecánica industrial y minería,soldadura,soldadura electrica,presencial,150,241.50000000000003
2076,curso,mecánica industrial y minería,tornería,torno,presencial,150,1983.0
2077,curso,finanzas comercio y ventas,presupuestos y flujo de caja,gestión de caja y microcrédito,presencial,150,9913.5
2078,curso,procesos industriales,automatización industrial y robótica,automatización,presencial,50,529.0
2079,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicura y pedicura,presencial,150,2478.0
2080,curso,alimentación gastronomía y turismo,cocina nacional e internacional,"cocina, postres y bocaditos",presencial,150,4957.5
2081,curso,procesos industriales,textil,confección de prendas deportivas,presencial,50,529.0
2082,curso,procesos industriales,textil,confección de bolsos y otras manualidades,presencial,15,198.3
2083,curso,administración y legislación,administración contable y de costos,contabilidad y tributación básica,presencial,150,1031.3809523809518
2084,curso,tecnologías de la información y comunicación,programas de escritorio,computación,presencial,150,1031.3809523809518
2085,curso,electricidad y electrónica,electricidad domiciliaria,electricidad,presencial,50,529.0
2086,curso,educación y capacitación,capacitación,competencias laborales básica,presencial,120,825.1047619047614
2087,curso,procesos industriales,refrigeración,refrigeración doméstica e industrial,presencial,50,529.0
2088,curso,procesos industriales,textil,confección básica,presencial,50,529.0
2089,curso,procesos industriales,textil,confección de bolsos y otras manualidades,presencial,50,529.0
2090,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,40,528.8000000000001
2091,curso,administración y legislación,administración general,generación de ideas de negocios,presencial,16,110.01396825396819
2092,curso,comunicación y artes gráficas,gráfica,"serigrafía, sublimación y diseño gráfico",presencial,200,6609.999999999999
2093,curso,artes y artesanía,peluquería y belleza barbería y estilismo,decoloración y belleza,presencial,100,1652.0
2094,curso,artes y artesanía,peluquería y belleza barbería y estilismo,peluquería y belleza,presencial,100,1322.0
2095,curso,educación y capacitación,evaluación del aprendizaje,evaluación auténtica de aprendizajes,presencial,16,110.01396825396819
2096,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,online,40,73.60000000000001
2097,curso,administración y legislación,administración general,generación de ideas de negocios,online,16,110.01396825396819
2098,curso,comunicación y artes gráficas,fotografía,fotografía,presencial,40,528.8000000000001
2099,curso,comunicación y artes gráficas,fotografía,fotografía,presencial,40,760.8
2100,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,presencial,40,528.8000000000001
2101,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,presencial,40,760.8
2102,curso,construcción e infraestructura,albañilería,construcción civil,presencial,40,528.8000000000001
2103,curso,construcción e infraestructura,albañilería,construcción civil,presencial,40,760.8
2104,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza,presencial,40,528.8000000000001
2105,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza,presencial,40,760.8
2106,curso,mecánica automotriz,mecánica general,mecánica automotriz,presencial,40,528.8000000000001
2107,curso,mecánica automotriz,mecánica general,mecánica automotriz,presencial,40,760.8
2108,curso,educación y capacitación,idiomas,nivel básico a1 - inglés,presencial,60,27.6
2109,curso,educación y capacitación,idiomas,nivel intermedio b1 - inglés,presencial,120,429.6
2110,curso,educación y capacitación,idiomas,nivel básico a2 - inglés,presencial,80,36.800000000000004
2111,curso,educación y capacitación,idiomas,nivel intermedio b2 - inglés,presencial,120,429.6
2112,curso,electricidad y electrónica,electricidad automotriz,electricidad automotriz,presencial,120,3172.8
2113,curso,administración y legislación,administración contable y de costos,tributación fiscal y obligaciones laborales,presencial,16,110.01396825396819
2114,curso,administración y legislación,gestión del talento humano,profesiogramas,presencial,16,110.01396825396819
2115,curso,administración y legislación,gestión de la calidad,gestión de la calidad total,presencial,20,137.51746031746023
2116,curso,administración y legislación,gestión de la calidad,sistema de gestión de la calidad norma iso 9001:2015,presencial,16,110.01396825396819
2117,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40,275.03492063492047
2118,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,gestión y evaluación ambiental,presencial,20,528.8000000000001
2119,curso,forestal ecología y medio ambiente,tratamiento de residuos,gestión de residuos,presencial,20,70.0
2120,curso,transporte y logística,manejo integral de bodegas y almacenes,gestión de bodegas y control de inventarios,presencial,20,528.8000000000001
2121,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,factores de riesgo psicosocial,presencial,16,528.8
2122,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,señalización de seguridad en el trabajo,presencial,8,528.72
2123,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,30,528.6
2124,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en el manejo de productos químicos,presencial,16,528.8
2125,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,10,132.20000000000002
2126,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de herramientas manuales,presencial,16,528.8
2127,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,presencial,100,6609.0
2128,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,presencial,40,528.8000000000001
2129,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,presencial,20,528.8000000000001
2130,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos psicosociales,presencial,20,528.8000000000001
2131,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos laborales,presencial,20,528.8000000000001
2132,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,10,330.5
2133,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencia y auto protección,presencial,10,440.6
2134,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencia,presencial,24,528.72
2135,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,presencial,10,182.3
2136,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud- organismos paritarios,presencial,10,264.40000000000003
2137,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional vigente,presencial,10,264.40000000000003
2138,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,presencial,10,220.3
2139,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",presencial,10,220.3
2140,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,10,330.5
2141,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,funciones del responsable técnico de seguridad y salud en el trabajo,presencial,100,6609.0
2142,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud del trabajo,presencial,16,528.8
2143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en soldadura,presencial,16,528.8
2144,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención con la exposición al sulfuro de hidrógeno,presencial,10,105.8
2145,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo para actividades de alto riesgo,presencial,30,528.6
2146,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de enfermedades ocupacionales,presencial,10,330.5
2147,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención en el uso y consumo de drogas en ambientes laborales,presencial,12,528.72
2148,curso,servicios socioculturales y a la comunidad,salud y medicina,primeros auxilios,presencial,30,528.6
2149,curso,servicios socioculturales y a la comunidad,salud y medicina,primeros auxilios avanzado,presencial,30,528.6
2150,curso,servicios socioculturales y a la comunidad,salud y medicina,sistema de comando de incidentes,presencial,20,528.8000000000001
2151,curso,servicios socioculturales y a la comunidad,salud y medicina,sistema de comando de incidentes intermedio,presencial,20,528.8000000000001
2152,curso,administración y legislación,atención y servicios de oficina,atención al cliente,presencial,8,55.006984126984094
2153,curso,mecánica industrial y minería,soldadura,soldadura,presencial,60,793.2
2154,curso,procesos industriales,refrigeración,instalación y mantenimiento de aire acondicionado,presencial,60,793.2
2155,curso,procesos industriales,refrigeración,instalación y mantenimiento de aire acondicionado ii,presencial,60,793.2
2156,curso,construcción e infraestructura,tecnología de la construcción,obra civil,presencial,30,528.6
2157,curso,transporte y logística,transporte de carga y de pasajeros,"actualización profesional en conducción de vehiculos de 4 ruedas o más, con capacidad de 26 asientos en adelante, diseñados para transporte de pasajeros",presencial,20,528.8000000000001
2158,curso,administración y legislación,gestión del talento humano,habilidades de supervición y liderazgo,presencial,16,110.01396825396819
2159,curso,finanzas comercio y ventas,marketing y ventas,marketing digital,presencial,20,528.8000000000001
2160,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,80,550.0698412698409
2161,curso,electricidad y electrónica,electricidad domiciliaria,instalaciones eléctricas,presencial,100,2938.0
2162,curso,electricidad y electrónica,electricidad automotriz,electricidad automotriz,presencial,100,2644.0
2163,curso,electricidad y electrónica,electricidad automotriz,autotronica,presencial,60,991.1999999999999
2164,curso,electricidad y electrónica,redes eléctricas,control industrial,presencial,40,528.8000000000001
2165,curso,electricidad y electrónica,redes eléctricas,reforzamiento de redes de distribución,presencial,40,528.8000000000001
2166,curso,electricidad y electrónica,redes eléctricas,mantenimiento del servicio de alumbrado publico general,presencial,20,528.8000000000001
2167,curso,electricidad y electrónica,redes eléctricas,capacitación integral para trabajos en líneas y redes,presencial,40,528.8000000000001
2168,curso,electricidad y electrónica,redes eléctricas,operacion y mantenimiento de transformadores de distribuacion,presencial,20,528.8000000000001
2169,curso,electricidad y electrónica,redes eléctricas,coordinación de protecciones de sistemas de distribución,presencial,20,528.8000000000001
2170,curso,electricidad y electrónica,redes eléctricas,ejecución en trabajos con tensión,presencial,20,528.8000000000001
2171,curso,electricidad y electrónica,redes eléctricas,elaboración e instalación de acomedidas y medidores de bt y mt,presencial,40,528.8000000000001
2172,curso,electricidad y electrónica,redes eléctricas,formacion de operadores de subestaciones energizadas,presencial,60,634.8
2173,curso,electricidad y electrónica,redes eléctricas,"operacion, diagnostico, mantenimiento y gestion de subestaciones electricas",presencial,16,528.8
2174,curso,electricidad y electrónica,redes eléctricas,alta y baja tension pa linieros,presencial,24,528.72
2175,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas nfpa 70 nec,presencial,24,528.72
2176,curso,mecánica industrial y minería,soldadura,trabajos en caliente,presencial,16,528.8
2177,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos físicos,presencial,16,528.8
2178,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,10,440.6
2179,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,presencial,10,132.20000000000002
2180,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estres laboral,presencial,10,330.5
2181,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevencion y seguridad integral en el manejo de amoniaco nh3,presencial,10,105.8
2182,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos biológicos,presencial,10,330.5
2183,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,10,330.5
2184,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,10,165.2
2185,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo en la construcción,presencial,10,330.5
2186,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevencion en el manejo de h2s,presencial,10,330.5
2187,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,18,528.84
2188,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,online,18,33.120000000000005
2189,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación de puente grúa,presencial,10,330.5
2190,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación de puente grúa,online,10,18.400000000000002
2191,curso,transporte y logística,transporte de carga y de pasajeros,conducción a la defensiva,presencial,20,528.8000000000001
2192,curso,transporte y logística,transporte de carga y de pasajeros,conducción a la defensiva,online,20,36.800000000000004
2193,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,16,528.8
2194,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,12,528.72
2195,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,presencial,20,528.8000000000001
2196,curso,electricidad y electrónica,electricidad domiciliaria,electricidad residencial i,presencial,20,528.8000000000001
2197,curso,electricidad y electrónica,electricidad domiciliaria,electricidad residencial ii,presencial,20,528.8000000000001
2198,curso,electricidad y electrónica,electricidad domiciliaria,instalaciones eléctricas i,presencial,60,1762.8
2199,curso,electricidad y electrónica,electricidad domiciliaria,instalaciones eléctricas ii,presencial,60,3965.4
2200,curso,electricidad y electrónica,electricidad domiciliaria,automatización industrial,presencial,60,991.1999999999999
2201,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,presencial,120,3172.8
2202,curso,electricidad y electrónica,redes eléctricas,formación integral de linieros,presencial,60,1321.8000000000002
2203,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en la construcción,presencial,36,528.84
2204,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,24,528.72
2205,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,bloqueo y etiquetado,presencial,18,528.84
2206,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,16,528.8
2207,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,16,528.8
2208,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,presencial,20,528.8000000000001
2209,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos químicos,presencial,12,528.72
2210,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos químicos,presencial,16,528.8
2211,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,16,528.8
2212,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos mecánico,presencial,18,528.84
2213,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos físicos,presencial,18,528.84
2214,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,16,528.8
2215,curso,electricidad y electrónica,redes eléctricas,nfpa 70e norma para la seguridad eléctrica en lugares de trabajo,online,16,154.72
2216,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,online,24,289.92
2217,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo en la construcción,online,10,1.7999999999999998
2218,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en la construcción,online,36,6.4799999999999995
2219,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,online,20,36.800000000000004
2220,curso,servicios socioculturales y a la comunidad,salud y medicina,primeros auxilios,virtual,8,104.48
2221,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,semipresencial,40,168.4
2222,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,semipresencial,10,168.5
2223,curso,mecánica industrial y minería,soldadura,trabajos en caliente,online,16,29.44
2224,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,online,10,1.7999999999999998
2225,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,online,20,36.800000000000004
2226,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,online,10,18.400000000000002
2227,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos biológicos,online,10,18.400000000000002
2228,curso,administración y legislación,gestión del talento humano,sut - sistema único de trabajo,virtual,10,68.75873015873012
2229,curso,administración y legislación,gestión de la calidad,iso 45001:20018 sistemas de gestión de la salud y la seguridad en el trabajo,virtual,20,137.51746031746023
2230,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,virtual,40,275.03492063492047
2231,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,virtual,80,550.0698412698409
2232,curso,electricidad y electrónica,electricidad domiciliaria,"iinstalaciones eléctricas residenciales, comerciales e industriales",virtual,100,292.0
2233,curso,electricidad y electrónica,redes eléctricas,control industrial,virtual,40,104.39999999999999
2234,curso,electricidad y electrónica,electricidad automotriz,diagnóstico eléctrico automotriz,virtual,20,104.39999999999999
2235,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,virtual,100,292.0
2236,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,presencial,100,2644.0
2237,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas nfpa 70 nec,virtual,24,104.39999999999999
2238,curso,comunicación y artes gráficas,lenguaje,lengua de señas,virtual,30,111.3
2239,curso,comunicación y artes gráficas,lenguaje,lengua de señas,presencial,30,528.6
2240,curso,mecánica industrial y minería,soldadura,trabajos en caliente,virtual,16,104.48
2241,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,virtual,10,104.5
2242,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,virtual,10,104.5
2243,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estrés laboral,virtual,10,104.5
2244,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo - comité paritario,virtual,10,104.5
2245,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,virtual,100,522.0
2246,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la segiridad y salud en el trabajo,virtual,10,104.5
2247,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,virtual,10,104.5
2248,curso,electricidad y electrónica,electricidad domiciliaria,instalaciones eléctricas,virtual,40,104.39999999999999
2249,curso,electricidad y electrónica,electricidad automotriz,electricidad automotriz,virtual,100,292.0
2250,curso,electricidad y electrónica,redes eléctricas,nfpa 7oe norma para la seguridad eléctrica en lugares de trabajo,virtual,16,60.0
2251,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral/mobbing laboral,virtual,10,104.5
2252,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de la seguridad y salud ocupacional,virtual,10,104.5
2253,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgo ergonómicos,virtual,20,104.39999999999999
2254,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en la construcción,virtual,40,104.39999999999999
2255,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,40,528.8000000000001
2256,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,virtual,10,104.5
2257,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,virtual,10,104.5
2258,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en soldadura,virtual,16,104.48
2259,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación de plataforma elevadora mobil de personal (pemp),presencial,10,165.2
2260,curso,transporte y logística,conducción de vehículos terrestres,seguridad vial laboral,virtual,10,104.5
2261,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos laborales,virtual,20,104.39999999999999
2262,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos psicosociales,virtual,20,104.39999999999999
2263,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de enfermedades ocupacionales,virtual,20,104.39999999999999
2264,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos biológicos,virtual,10,104.5
2265,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en el manejo de productos químicos,virtual,10,104.5
2266,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,virtual,10,104.5
2267,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,virtual,40,104.39999999999999
2268,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,virtual,40,104.39999999999999
2269,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,virtual,20,104.39999999999999
2270,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,20,528.8000000000001
2271,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de materiales y sustancias peligrosas,presencial,10,105.8
2272,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de materiales y sustancias peligrosas,virtual,10,104.5
2273,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programas de prevención integral al uso de drogas en los espacios laborales públicos y privados,virtual,10,104.5
2274,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes del trabajo",virtual,10,104.5
2275,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en riesgos de la construcción,presencial,20,528.8000000000001
2276,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajo en alturas,presencial,10,330.5
2277,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,10,330.5
2278,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación de plataforma elevadora mobil de personal (pemp),virtual,10,104.5
2279,curso,transporte y logística,conducción de vehículos terrestres,conducción a la defensiva,virtual,10,104.5
2280,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,online,10,18.400000000000002
2281,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotecciòn,online,10,18.400000000000002
2282,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,online,24,379.92
2283,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,bloqueo y etiquetado,online,18,33.120000000000005
2284,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,online,10,18.400000000000002
2285,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,online,10,18.400000000000002
2286,curso,electricidad y electrónica,electricidad domiciliaria,electricidad domiciliaria: máquinas eléctricas,presencial,20,528.8000000000001
2287,curso,electricidad y electrónica,redes eléctricas,formación integral de linieros,online,60,110.4
2288,curso,electricidad y electrónica,electricidad domiciliaria,electricidad residencial i,online,20,36.800000000000004
2289,curso,electricidad y electrónica,electricidad domiciliaria,elctricidad domiciliaria máquinas eléctricas,online,20,193.4
2290,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,online,12,22.080000000000002
2291,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,online,16,29.44
2292,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,virtual,40,104.39999999999999
2293,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,online,10,18.400000000000002
2294,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,20,528.8000000000001
2295,curso,electricidad y electrónica,redes eléctricas,nfpa 70e norma para la seguridad eléctrica en lugares en trabajo,presencial,16,528.8
2296,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,virtual,24,89.03999999999999
2297,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,semipresencial,24,89.03999999999999
2298,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,presencial,24,528.72
2299,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,semipresencial,24,89.03999999999999
2300,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,virtual,24,89.03999999999999
2301,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,presencial,24,528.72
2302,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,virtual,24,89.03999999999999
2303,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,semipresencial,24,168.48
2304,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos,virtual,10,104.5
2305,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos,presencial,10,105.8
2306,curso,educación y capacitación,idiomas,nivel básico a1 - inglés,presencial,120,429.6
2307,curso,educación y capacitación,idiomas,nivel básico a2 - inglés,presencial,120,429.6
2308,curso,educación y capacitación,idiomas,nivel intermedio b1 - inglés,presencial,120,429.6
2309,curso,educación y capacitación,idiomas,nivel intermedio b2 - inglés,presencial,120,429.6
2310,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,programa pre-requisitos para los sitemas de inocuidad,presencial,8,760.96
2311,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,haccp para procesadores,presencial,18,761.04
2312,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,hccp avanzado,presencial,8,760.96
2313,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,principios de auditoría interna,presencial,8,760.96
2314,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,10,475.6
2315,curso,administración y legislación,administración general,administración de empresas,presencial,16,110.01396825396819
2316,curso,administración y legislación,administración general,administración de empresas,presencial,16,1187.52
2317,curso,administración y legislación,administración general,balanced scorecard,presencial,16,110.01396825396819
2318,curso,administración y legislación,administración general,balanced scorecard,presencial,16,1187.52
2319,curso,administración y legislación,administración general,desarrollo de habilidades gerenciales,presencial,16,110.01396825396819
2320,curso,administración y legislación,administración general,desarrollo de habilidades gerenciales,presencial,16,1187.52
2321,curso,administración y legislación,administración general,emprendimiento,presencial,16,110.01396825396819
2322,curso,administración y legislación,administración general,emprendimiento,presencial,16,1187.52
2323,curso,administración y legislación,administración general,plan de negocios,presencial,16,110.01396825396819
2324,curso,administración y legislación,administración general,plan de negocios,presencial,16,1187.52
