id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
60,curso,educación y capacitación,idiomas,nivel básico a2,presencial,120,825.1047619047614
61,curso,educación y capacitación,idiomas,nivel intermedio b1,presencial,120,825.1047619047614
62,curso,educación y capacitación,idiomas,nivel intermedio b2,presencial,120,825.1047619047614
63,curso,educación y capacitación,idiomas,nivel avanzado c1,presencial,120,825.1047619047614
64,curso,administración y legislación,administración general,buen gobierno cooperativo como base para el desarrollo de las organizaciones,presencial,20,137.51746031746023
65,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención del manejo de vehículos livianos / prevención del manejo de vehículos pesados,presencial,12,528.72
66,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención del manejo de vehículos livianos / prevención del manejo de vehículos pesados,online,12,22.080000000000002
67,curso,administración y legislación,administración general,planificación estratégica,presencial,16,110.01396825396819
68,curso,administración y legislación,administración general,planificación y estratégias de comunicación,presencial,8,55.006984126984094
69,curso,administración y legislación,gestión del talento humano,negociación y manejo de conflictos,presencial,16,110.01396825396819
70,curso,administración y legislación,gestión del talento humano,fortalecimiento organizacional y solución creativa de conflictos,presencial,16,110.01396825396819
71,curso,administración y legislación,gestión del talento humano,"programa de habilidades para mandos medios (jefaturas, supervisores, coordinadores, líderes de áreas)",presencial,32,60.16
72,curso,administración y legislación,gestión del talento humano,liderazgo integral,presencial,8,55.006984126984094
73,curso,administración y legislación,gestión del talento humano,planeación de tareas y administración del tiempo,presencial,8,55.006984126984094
74,curso,administración y legislación,gestión del talento humano,toma de decisiones con orientación a resultados,presencial,8,55.006984126984094
75,curso,administración y legislación,gestión del talento humano,pensamiento analítico,presencial,8,55.006984126984094
76,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de conflictos,presencial,16,110.01396825396819
77,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de relaciones interpersonales,presencial,8,55.006984126984094
78,curso,administración y legislación,gestión del talento humano,inteligencia emocional,presencial,8,55.006984126984094
79,curso,administración y legislación,gestión del talento humano,programación neurolingüística y comunicación,presencial,8,55.006984126984094
80,curso,administración y legislación,gestión del talento humano,motivación y trabajo en equipo,presencial,8,55.006984126984094
81,curso,administración y legislación,gestión del talento humano,coaching y desarrollo de liderazgo,presencial,8,55.006984126984094
82,curso,administración y legislación,administración contable y de costos,cierre del año fiscal,presencial,8,55.006984126984094
83,curso,administración y legislación,evaluación de proyectos,programa integral de manejo de proyectos,presencial,24,165.02095238095228
84,curso,administración y legislación,gestión de la calidad,"administración, seguimiento y evaluación de procesos",presencial,24,165.02095238095228
85,curso,administración y legislación,evaluación de proyectos,elaboración de proyectos,presencial,16,110.01396825396819
86,curso,administración y legislación,atención y servicios de oficina,"etiqueta, protocolo e imagen en la organización",presencial,8,55.006984126984094
87,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de ortografía,presencial,8,55.006984126984094
88,curso,administración y legislación,atención y servicios de oficina,gestión integral de secretarias ejecutivas,presencial,16,110.01396825396819
89,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y elaboración de informes,presencial,16,110.01396825396819
90,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y ortografía,presencial,16,110.01396825396819
91,curso,administración y legislación,atención y servicios de oficina,el arte de hablar y exponer en público,presencial,8,55.006984126984094
92,curso,administración y legislación,atención y servicios de oficina,excelencia y calidad en el servicio y atención al cliente,presencial,8,55.006984126984094
93,curso,administración y legislación,legislación,"legislación laboral, código de trabajo y régimen disciplinario",presencial,16,110.01396825396819
94,curso,administración y legislación,legislación,aplicación código integral penal,presencial,32,220.02793650793637
95,curso,administración y legislación,legislación,ley orgánica de economía popular y solidaria y su reglamento,presencial,16,110.01396825396819
96,curso,administración y legislación,legislación,el código orgánico monetario financiero,presencial,16,110.01396825396819
97,curso,administración y legislación,gestión de la calidad,gestión por procesos,presencial,12,82.51047619047614
98,curso,administración y legislación,gestión de la calidad,introducción a norma iso 9001-2015,presencial,16,110.01396825396819
99,curso,tecnologías de la información y comunicación,programas de escritorio,excel básico,presencial,16,110.01396825396819
100,curso,tecnologías de la información y comunicación,programas de escritorio,excel intermedio,presencial,16,110.01396825396819
101,curso,tecnologías de la información y comunicación,programas de escritorio,excel avanzado,presencial,8,55.006984126984094
102,curso,tecnologías de la información y comunicación,control de calidad,ethical hacking,presencial,24,165.02095238095228
103,curso,tecnologías de la información y comunicación,control de calidad,auditoria informática,presencial,16,110.01396825396819
104,curso,tecnologías de la información y comunicación,control de calidad,seguridad de la información y seguridad informática,presencial,16,110.01396825396819
105,curso,finanzas comercio y ventas,marketing y ventas,habilidades de negociación eficaz,presencial,8,528.72
106,curso,finanzas comercio y ventas,marketing y ventas,pnl aplicado a ventas,presencial,16,528.8
107,curso,finanzas comercio y ventas,marketing y ventas,la negociación profesional enfocada a compras y ventas,presencial,16,528.8
108,curso,finanzas comercio y ventas,marketing y ventas,integración organizacional aplicado a ventas,presencial,8,528.72
109,curso,finanzas comercio y ventas,marketing y ventas,programa de habilidades de negociación eficaz,presencial,24,528.72
110,curso,finanzas comercio y ventas,marketing y ventas,empowerment y negociación,presencial,16,528.8
111,curso,finanzas comercio y ventas,marketing y ventas,manejo de objeciones y cierre de ventas telefónicas,presencial,8,528.72
112,curso,finanzas comercio y ventas,marketing y ventas,ventas consultivas (ventas con pnl),presencial,16,528.8
113,curso,finanzas comercio y ventas,marketing y ventas,neuroventas,presencial,16,528.8
114,curso,finanzas comercio y ventas,marketing y ventas,venta de productos financieros,presencial,16,528.8
115,curso,finanzas comercio y ventas,marketing y ventas,negociación efectiva para microcréditos,presencial,8,528.72
116,curso,finanzas comercio y ventas,marketing y ventas,programa de fortalecimiento como gestores comerciales para servicios financieros,presencial,40,528.8000000000001
117,curso,finanzas comercio y ventas,crédito y cobranzas,análisis de crédito y cobranza,presencial,16,528.8
118,curso,finanzas comercio y ventas,crédito y cobranzas,gestión efectiva de cobranza,presencial,16,528.8
119,curso,finanzas comercio y ventas,crédito y cobranzas,"manejo de equipos de trabajo, evaluación y seguimiento de gestores de cobranza",presencial,16,528.8
120,curso,finanzas comercio y ventas,riesgo financiero,formación integral para cajeros bancarios,presencial,40,528.8000000000001
121,curso,finanzas comercio y ventas,riesgo financiero,gestión efectiva de cajeros para instituciones financieras,presencial,16,528.8
122,curso,finanzas comercio y ventas,detección de circulante y documentos falsos,grafología y grafo análisis,presencial,8,528.72
123,curso,finanzas comercio y ventas,detección de circulante y documentos falsos,grafología y seguridad en documentos,presencial,8,528.72
124,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,16,110.01396825396819
