id_oec,razon_social_oec,estado,canton,provincia
95,CENTRO DE CAPACITACION Y FORMACION PROFESIONAL EN TURISMO Y AFINES CENDFOP GTH,Desconocido,IBARRA,IMBABURA
96,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,Desconocido,LOJA,LOJA
97,AMOROSO GONZALEZ HERNAN PATRICIO,Desconocido,LOJA,LOJA
98,GUAMAN SEGARRA PAULINA NATHALY,Desconocido,LOJA,LOJA
99,ORELLANA JIMENEZ JULIANA DEL CISNE,Desconocido,LOJA,LOJA
100,INSTITUTO SUPERIOR TECNOLÓGICO BABAHOYO,Desconocido,BABAHOYO,LOS RIOS
101,CENTRO DE CAPACITACION Y CERTIFICACION CCAPCER S.A.S.,Desconocido,BABAHOYO,LOS RIOS
102,INSTITUTO SUPERIOR TECNOLÓGICO CIUDAD DE VALENCIA,Desconocido,VALENCIA,LOS RIOS
103,SANCHEZ MARTINEZ BRENDA BEGONIA,Desconocido,MONTALVO,LOS RIOS
104,EMPRESA PUBLICA DE PRODUCCION Y DESARROLLO ESTRATEGICO DE LA UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,Desconocido,MANTA,MANABI
105,INSTITUTO SUPERIOR TECNOLÓGICO LUIS ARBOLEDA MARTÍNEZ - MANTA,Desconocido,MANTA,MANABI
106,INSTITUTO SUPERIOR TECNOLÓGICO PAULO EMILIO MACÍAS,Desconocido,PORTOVIEJO,MANABI
107,CARDENAS PAZ JUAN SEBASTIAN,Desconocido,MANTA,MANABI
108,SMART-CONSULTANT-DISCOVERY&INNOVATION S.A.S. B.I.C.,Desconocido,JARAMIJO,MANABI
109,FUNDACION FUNPIPE,Desconocido,PORTOVIEJO,MANABI
110,INSTITUTO SUPERIOR TECNOLÓGICO SUCUA,Desconocido,SUCUA,MORONA SANTIAGO
111,FORMAMOS ECUADOR WEFORM CIA.LTDA.,Desconocido,JOYA DE LOS SACHAS,ORELLANA
112,INSTITUTO SUPERIOR TECNOLÓGICO FRANCISCO DE ORELLANA,Desconocido,PASTAZA,PASTAZA
113,MEDIFRA SOLUCIONES MEDICO OCUPACIONALES ECUADOR CIA. LTDA.,Desconocido,QUITO,PICHINCHA
114,AUTOTRAIN SA,Desconocido,QUITO,PICHINCHA
115,LIDERAZGO CAPACITACION Y CONSULTORIA DAVSOC COMPAÑIA LIMITADA,Desconocido,QUITO,PICHINCHA
116,ASOCIADOS SALGARCI S.A.S.,Desconocido,QUITO,PICHINCHA
117,INSTITUTO TECNOLOGICO SUPERIOR TECNOECUATORIANO,Desconocido,QUITO,PICHINCHA
118,CAPACITALIBERTAD S.A.,Desconocido,QUITO,PICHINCHA
119,VALENCIA SORIA LUIS FELIPE,Desconocido,QUITO,PICHINCHA
120,INSTITUTO SUPERIOR TECNOLÓGICO YAVIRAC,Desconocido,QUITO,PICHINCHA
121,MOREIRA MOREIRA LEIDY MARIANA,Desconocido,QUITO,PICHINCHA
122,CAEPRE S.C.C.,Desconocido,QUITO,PICHINCHA
123,EDUKRE CENTRO DE CAPACITACION Y SOLUCIONES ELEARNING CIA.LTDA.,Desconocido,QUITO,PICHINCHA
124,VALDEZ ENCALADA MILTON MANUEL,Desconocido,QUITO,PICHINCHA
125,SERVICIOS GASTRONOMICOS APETICORP,Desconocido,QUITO,PICHINCHA
126,EMPRESA PUBLICA DE BIENES Y SERVICIOS UCE PROYECTOS EP,Desconocido,QUITO,PICHINCHA
127,FUNDACION ACADEMIA INTERNACIONAL DE CIENCIAS EMPRESARIALES,Desconocido,QUITO,PICHINCHA
128,NARANJO ESPIN CARLA LORENA / SINAI AMERICAN BEAUTY INSTITUTE,Desconocido,QUITO,PICHINCHA
129,"EMC2 EXPERIENCIAS, MEJORA CONTINUA, CAPACITACION Y CONSULTORIA C.LTDA.",Desconocido,QUITO,PICHINCHA
130,ASOCIACION DE PROFESIONALES NATUROPATAS DEL ECUADOR A.P.N.E.,Desconocido,QUITO,PICHINCHA
131,FACTOR INTEGRAL SOCIAL ECUATORIANO FIALSER S.A.,Desconocido,QUITO,PICHINCHA
132,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,Desconocido,QUITO,PICHINCHA
133,ARELLANO GUALLE PATRICIA DEL CARMEN,Desconocido,QUITO,PICHINCHA
134,INSTITUTO SUPERIOR DE TECNOLOGIAS APROPIADAS - INSTA,Desconocido,QUITO,PICHINCHA
135,ASOCIACION INTERPROFESIONAL DE MAESTROS ARTESANOS Y OPERARIOS DE PICHINCHA,Desconocido,QUITO,PICHINCHA
136,CORPORACION DESARROLLO CULTURAL INTEGRAL,Desconocido,QUITO,PICHINCHA
137,MENA RON DEICY VIVIANA / GRUPO MSA,Desconocido,QUITO,PICHINCHA
138,CORPORACION LIDERES PARA FORMACION Y CAPACITACION EMPRESARIAL,Desconocido,QUITO,PICHINCHA
139,INSTITUTO SUPERIOR TECNOLÓGICO NELSÓN TORRES,Desconocido,CAYAMBE,PICHINCHA
140,INSTITUTO SUPERIOR TECNOLÓGICO LUIS NAPOLEÓN DILLON,Desconocido,QUITO,PICHINCHA
141,JARAMILLO PALIZ MARIA BELEN,Desconocido,QUITO,PICHINCHA
142,CENTRO DE INVESTIGACION Y DESARROLLO CORPORACION PEER,Desconocido,QUITO,PICHINCHA
143,INSTITUTO SUPERIOR TECNOLOGICO ISMAC,Desconocido,QUITO,PICHINCHA
144,CORPORACION UNA OPORTUNIDAD DE SUPERACION,Desconocido,QUITO,PICHINCHA
145,FUNDACION CENTRO DE INVESTIGACION Y CAPACITACION ELECTRICA CICE,Desconocido,QUITO,PICHINCHA
146,INSTITUTO TECNICO DEL PETROLEO INSTIPETROL CIA. LTDA.,Desconocido,QUITO,PICHINCHA
147,ESPE - INNOVATIVA E P,Desconocido,QUITO,PICHINCHA
148,CAMARA ARTESANAL DE PICHINCHA,Desconocido,QUITO,PICHINCHA
149,FUNDACION CRITERIUM,Desconocido,QUITO,PICHINCHA
150,ADMINISTRACION RENTABILIDAD ENTORNO Y SEGURIDAD MODELOARES CIA. LTDA.,Desconocido,QUITO,PICHINCHA
151,INSTITUTO SUPERIOR TECNOLOGICO SUPERARSE,Desconocido,RUMIÑAHUI,PICHINCHA
152,INSTITUTO SUPERIOR TECNOLÓGICO SUCRE,Desconocido,QUITO,PICHINCHA
153,PULLAS Y MORENO ASOCIADOS CIA LTDA,Desconocido,QUITO,PICHINCHA
154,VILATUÑA CHISAGUANO DIANA SOFIA / ENTRE JUEGOS,Desconocido,QUITO,PICHINCHA
155,VILLACIS LOPEZ CESAR GEOVANNY,Desconocido,QUITO,PICHINCHA
156,CARVAJAL CAMPOVERDE CARLOS LENIN / INNOVA SEMPER,Desconocido,QUITO,PICHINCHA
157,RON SANCHEZ FREDDY WASHINGTON,Desconocido,QUITO,PICHINCHA
158,SERVICIO ECUATORIANO DE CAPACITACIÓN PROFESIONAL - SECAP,Desconocido,QUITO,PICHINCHA
159,INSTITUTO TECNOLOGICO SUPERIOR PARTICULAR BERNARDO O`HIGGINS,Desconocido,QUITO,PICHINCHA
160,CAPACITACION Y CONSULTORIA ASOMIP CIA. LTDA.,Desconocido,QUITO,PICHINCHA
161,CONSORCIO ENGLISH TODAY,Desconocido,QUITO,PICHINCHA
162,NARANJO ESPIN RICARDO ALONSO,Desconocido,QUITO,PICHINCHA
163,SEGURIDAD INDUSTRIAL SALUD OCUPACIONAL SEINSAO CIA LTDA,Desconocido,QUITO,PICHINCHA
164,GANBARU GROUP (CRUZ HERRERA MONICA CAROLINA),Desconocido,QUITO,PICHINCHA
165,SEGURIDAD INDUSTRIAL POMPIER CHANO SEINPOMEP CIA. LTDA.,Desconocido,QUITO,PICHINCHA
166,VILLACRES ESPEJO GABRIELA MONSERRATH,Desconocido,QUITO,PICHINCHA
167,GERINTERPRO CIA. LTDA.,Desconocido,QUITO,PICHINCHA
168,ASOCIACION DE ESPECIALISTAS EN BODAS ASOCIADOS ECUADOR,Desconocido,QUITO,PICHINCHA
169,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,Desconocido,QUITO,PICHINCHA
170,QUINAHUANO LLUMIQUINGA WILSON IVAN,Desconocido,QUITO,PICHINCHA
171,FUNDACIÓN ECUATORIANA PARA EL DESARROLLO MARÍTIMO FLUVIAL Y LACUSTRE FUNDEMAR,Desconocido,QUITO,PICHINCHA
172,PICO ESPIN ALBA ESTELA,Desconocido,QUITO,PICHINCHA
173,AMAZON TRAVEL EXPERIENCES EXVIAM CIA. LTDA.,Desconocido,QUITO,PICHINCHA
174,IPEGES CIA. LTDA.,Desconocido,QUITO,PICHINCHA
175,CENTRO DE EDUCACION CONTINUA EPN,Desconocido,QUITO,PICHINCHA
176,SARAUZ COBOS DANIEL ANDRES,Desconocido,QUITO,PICHINCHA
177,ROSERO ROSERO XIMENA ALEXANDRA,Desconocido,QUITO,PICHINCHA
178,RODRIGUEZ FERNANDEZ GLADYS GISSELLA,Desconocido,RUMIÑAHUI,PICHINCHA
179,GARCIA SANCHEZ ELIZABETH MONTSERRATTE,Desconocido,QUITO,PICHINCHA
180,SERVICIOS INTEGRADOS DE SALUD ALSALEM & ASOCIADOS ALSALEMCOMP CIA.LTDA.,Desconocido,QUITO,PICHINCHA
181,VITERI AMAGUA GRACE ADRIANA,Desconocido,QUITO,PICHINCHA
182,FDS-CONSULTING-ALLIANCE C.L.,Desconocido,QUITO,PICHINCHA
183,SERVICIO INTEGRADO DE SEGURIDAD ECU 911,Desconocido,QUITO,PICHINCHA
184,CENTRO DE ESPECIALIZACION Y CAPACITACION INTEGRAL INTEGRALCECAI CIA. LTDA.,Desconocido,QUITO,PICHINCHA
185,DAVILA SANDOVAL DARIO EDUARDO,Desconocido,QUITO,PICHINCHA
186,GONZALEZ LLUMIQUINGA MAYRA ALEJANDRA,Desconocido,QUITO,PICHINCHA
187,ASIB ASESORIA Y SERVICIOS INDUSTRIALES BETANCOURT S.A.S.,Desconocido,QUITO,PICHINCHA
188,ESTANDARES NORMATIVAS & INSPECCION ENII S.A.,Desconocido,QUITO,PICHINCHA
189,INSTITUTO DE ALTOS ESTUDIOS IAETILLARI CIA.LTDA.,Desconocido,QUITO,PICHINCHA
190,COMPAÑIA DE SERVICIOS GRUPOCABEA CIA LTDA,Desconocido,QUITO,PICHINCHA
191,INSTITUTO SUPERIOR UNIVERSITARIO CENTRAL TECNICO,Desconocido,QUITO,PICHINCHA
192,DOMUMEDUCATIO S.A.S.,Desconocido,QUITO,PICHINCHA
193,TECSISAT - SEGURIDAD SALUD Y CAPACITACION TECNICA S.A.S.,Desconocido,QUITO,PICHINCHA
194,CFCE S.A.S. B.I.C.,Desconocido,QUITO,PICHINCHA
195,QUISHPE MORALES CARLA SALOME,Desconocido,RUMIÑAHUI,PICHINCHA
196,CORPORACIÓN QUALITUR,Desconocido,QUITO,PICHINCHA
197,ALMEIDA MOLINA CARLOS ALBERTO,Desconocido,QUITO,PICHINCHA
198,COLEGIO DE INGENIEROS ELECTRICOS Y ELECTRONICOS DE PICHINCHA CIEEPI,Desconocido,QUITO,PICHINCHA
199,CONSTRUCCIONES Y PRESTACIONES PETROLERAS S.A. CPP,Desconocido,QUITO,PICHINCHA
200,INSTITUTO TECNICO DE SEGURIDAD INTEGRAL INSSI CIA.LTDA.,Desconocido,QUITO,PICHINCHA
201,ESCUELA DE ARTES CULINARIAS CULINARY ARTS CIA. LTDA.,Desconocido,QUITO,PICHINCHA
202,FUNDACION CONCIENCIA SOCIAL,Desconocido,QUITO,PICHINCHA
203,TORIIGROUP S.A.S.,Desconocido,QUITO,PICHINCHA
204,CALLE CUENCA ARACELY LUZMILA,Desconocido,QUITO,PICHINCHA
205,CAMARA DE LA INDUSTRIA DE LA CONSTRUCCION,Desconocido,QUITO,PICHINCHA
206,EMPRESA PUBLICA DE ADMINISTRACION Y GESTION DE SERVICIOS Y PRODUCTOS DE PROYECTOS DE INVESTIGACION DE LA ESCUELA POLITECNICA NACIONAL,Desconocido,QUITO,PICHINCHA
207,ESCUELA PROFESIONAL Y TECNICA CODADEPRO C.A.,Desconocido,QUITO,PICHINCHA
208,CENTRO DE ACTUALIZACION Y DESARROLLO PROFESIONAL CENADEPRO CIA.LTDA.,Desconocido,QUITO,PICHINCHA
209,FORMACION Y CERTIFICACION ECUATORIANA EDUTEEC CIA.LTDA.,Desconocido,QUITO,PICHINCHA
210,TORRES ESPINOZA EDWIN PAUL / INTEGRAL SAFETY ECUADOR,Desconocido,QUITO,PICHINCHA
211,DUQUE MENDOZA ALEX FERNANDO,Desconocido,QUITO,PICHINCHA
212,SIMBAÑA MENA ANGIE MISHEL,Desconocido,QUITO,PICHINCHA
213,MORETA ALVAREZ JOSELYN ESTEFANIA,Desconocido,QUITO,PICHINCHA
214,CONDOR JAMI FERNANDO DANIEL,Desconocido,QUITO,PICHINCHA
215,QUISHPE SACANCELA SANTIAGO ROBERTO,Desconocido,QUITO,PICHINCHA
216,INSTITUTO DE ESTUDIOS INTERNACIONALES GAVATRADE-IEI CIA. LTDA.,Desconocido,QUITO,PICHINCHA
217,GRUPO DRAGON Y ASOCIADOS GADH S.A.S.,Desconocido,QUITO,PICHINCHA
218,DESINTECSA S.A.,Desconocido,QUITO,PICHINCHA
219,VINUEZA TAPIA KATHERINE STEFANY,Desconocido,QUITO,PICHINCHA
220,"LINCANGO SIMBAÑA SILVIA PATRICIA / CENTRO DE CAPACITACION Y ASESORIA ""CIMA GROUP""",Desconocido,QUITO,PICHINCHA
221,"EMPRESA PUBLICA DE OBRAS, BIENES Y SERVICIOS SANTA ELENA EP",Desconocido,LA LIBERTAD,SANTA ELENA
222,CLIK CAPACITACION INNOVACION Y LIDERAZGO S.A.,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
223,EDUCACION CONTINUA Y PROFESIONAL KRECE CIA.LTDA.,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
224,INSTITUTO SUPERIOR TECNOLOGICO TSACHILA,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
225,PASPUEL JARAMILLO MARITZA ABIGAIL,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
226,CAPACITACION CONTINUA Y CERTIFICACION POR COMPETENCIAS CAPACITA-EC CIA.LTDA.,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
227,PROAÑO RODRIGUEZ FERNANDO ANDRES / GRUPO KRECE,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
228,GRUPOGESTIONA S.A.,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
229,MORA LEDESMA WALTER FILIBERTO / OCCERTIMM,Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
230,CHUQUICONDOR PILAMUNGA CARMEN YOLANDA (SHERYDAN INTERNATIONAL GROUP),Desconocido,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS
231,ORTIZ CAIZAPANTA MARCO VINICIO,Desconocido,SHUSHUFINDI,SUCUMBIOS
232,INSTITUTO SUPERIOR PEDAGÓGICO BILINGUE INTERCULTURAL MARTHA BUCARAM DE ROLDÓS,Desconocido,LAGO AGRIO,SUCUMBIOS
233,CENICAP CENTRO NACIONAL INTEGRADO DE CAPACITACION PROFESIONAL CIA. LTDA.,Desconocido,LAGO AGRIO,SUCUMBIOS
234,CORPORACION DE FOMENTO PARA LA PEQUEÑA Y MEDIANA EMPRESA CORFOPYM,Desconocido,AMBATO,TUNGURAHUA
235,ALVAREZ ROBAYO FRANKLIN ROLANDO,Desconocido,AMBATO,TUNGURAHUA
236,NAVAS ESCOBAR FAUSTO ENRIQUE,Desconocido,AMBATO,TUNGURAHUA
237,CORDOVA SUAREZ MANOLO ALEXANDER,Desconocido,AMBATO,TUNGURAHUA
238,ABKREA INGENIERIA CIA. LTDA.,Desconocido,AMBATO,TUNGURAHUA
239,L'ESCOFFIER,Desconocido,AMBATO,TUNGURAHUA
240,CECFECONSULTORES C.L.,Desconocido,AMBATO,TUNGURAHUA
241,INSTITUTO SUPERIOR TECNOLÓGICO DOCE DE FEBRERO,Desconocido,ZAMORA,ZAMORA CHINCHIPE
