id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
15.0,845.0,132,10,60.0,1,10,250.0,
15.0,845.0,133,1,6.0,1,1,250.0,
15.0,845.0,134,29,174.0,1,29,250.0,
15.0,1496.0,135,2,12.0,1,2,250.0,
15.0,1496.0,136,1,6.0,3,20,250.0,
15.0,1496.0,137,5,30.0,1,5,250.0,
15.0,1496.0,138,1,6.0,1,1,250.0,
15.0,1496.0,139,1,6.0,1,1,250.0,
15.0,1496.0,140,1,6.0,2,3,250.0,
15.0,1496.0,141,11,66.0,1,11,250.0,
15.0,1514.0,142,1,6.0,1,1,250.0,
15.0,1514.0,143,1,6.0,1,1,250.0,
15.0,1514.0,144,1,6.0,1,1,250.0,
15.0,1514.0,145,2,12.0,1,2,250.0,
15.0,1514.0,146,1,6.0,1,1,250.0,
15.0,1514.0,147,5,30.0,1,5,250.0,
15.0,1514.0,148,1,6.0,1,1,250.0,
15.0,1514.0,149,1,6.0,1,1,250.0,
15.0,1514.0,150,2,12.0,1,2,250.0,
15.0,1514.0,151,1,6.0,1,1,250.0,
15.0,1514.0,152,1,6.0,1,1,250.0,
15.0,1514.0,112,1,6.0,3,3,250.0,
15.0,816.0,136,18,108.0,3,20,250.0,
15.0,816.0,155,1,6.0,1,1,250.0,
15.0,816.0,156,50,300.0,1,50,250.0,
15.0,816.0,157,1,6.0,2,21,250.0,
15.0,816.0,158,1,6.0,1,1,250.0,
15.0,816.0,159,17,102.0,2,20,250.0,
15.0,816.0,160,1,6.0,1,1,250.0,
15.0,816.0,140,2,12.0,2,3,250.0,
15.0,816.0,162,1,6.0,1,1,250.0,
15.0,816.0,163,81,486.0,2,84,250.0,
15.0,816.0,164,1,6.0,1,1,250.0,
15.0,816.0,165,1,6.0,1,1,250.0,
15.0,816.0,166,3,18.0,1,3,250.0,
15.0,816.0,167,4,24.0,1,4,250.0,
15.0,816.0,168,21,126.0,2,22,250.0,
15.0,816.0,130,28,168.0,2,29,250.0,
15.0,816.0,170,1,6.0,1,1,250.0,
15.0,816.0,171,7,42.0,1,7,250.0,
15.0,816.0,172,1,6.0,1,1,250.0,
15.0,816.0,173,19,114.0,1,19,250.0,
15.0,816.0,174,1,6.0,1,1,250.0,
15.0,816.0,175,11,66.0,1,11,250.0,
15.0,,176,4,,1,4,,
15.0,,177,1,,1,1,,
15.0,,178,15,,1,15,,
15.0,,179,1,,2,2,,
15.0,,180,1,,1,1,,
15.0,,157,20,,2,21,,
15.0,,182,1,,1,1,,
15.0,,183,1,,2,2,,
15.0,,184,4,,2,9,,
15.0,,185,13,,1,13,,
15.0,,100,4,,3,6,,
15.0,,187,8,,2,13,,
15.0,,188,2,,1,2,,
15.0,,112,1,,3,3,,
15.0,,190,16,,1,16,,
15.0,,115,54,,2,55,,
15.0,,116,1,,2,2,,
15.0,,193,4,,1,4,,
15.0,,194,13,,1,13,,
15.0,,67,1,,2,3,,
15.0,,196,1,,1,1,,
15.0,,81,1,,2,2,,
15.0,,198,1,,1,1,,
15.0,,179,1,,2,2,,
15.0,,183,1,,2,2,,
15.0,,201,1,,1,1,,
15.0,,202,5,,1,5,,
15.0,,203,1,,1,1,,
15.0,,184,5,,2,9,,
15.0,,205,1,,1,1,,
15.0,,99,1,,2,23,,
15.0,,100,1,,3,6,,
15.0,,208,1,,1,1,,
15.0,,187,5,,2,13,,
15.0,,210,1,,2,2,,
15.0,782.0,136,1,6.0,3,20,250.0,
15.0,782.0,212,1,6.0,1,1,250.0,
15.0,782.0,213,1,6.0,1,1,250.0,
15.0,782.0,159,3,18.0,2,20,250.0,
15.0,782.0,163,3,18.0,2,84,250.0,
15.0,782.0,216,1,6.0,1,1,250.0,
